INDEX,VOLTS_LSB
0,2028
1,2042
2,2054
3,2344
4,3022
5,3891
6,2853
7,1605
8,0
9,170
10,2253
11,2981
12,3805
13,3124
14,1762
15,0
16,313
17,2382
18,2986
19,3800
20,3199
21,1823
22,27
23,486
24,2315
25,2189
26,1959
27,2131
28,2083
29,1336
30,2039
31,3123
32,1874
33,1614
34,2140
35,1706
36,1716
37,2055
38,2040
39,2104
40,2067
41,1881
42,1901
43,1933
44,1882
45,1907
46,1931
47,1876
48,1873
49,1895
50,1905
51,1923
52,1950
53,1965
54,1999
55,2047
56,2087
57,2101
58,2068
59,2020
60,2005
61,2036
62,2113
63,2154
64,2180
65,2201
66,2166
67,2108
68,2081
69,2068
70,2053
71,2023
72,1995
73,1982
74,1971
75,1986
76,2032
77,2074
78,2087
79,2078
80,2039
81,1978
82,1927
83,1920
84,1912
85,1909
86,1927
87,1928
88,1922
89,1920
90,1906
91,1910
92,1929
93,1933
94,1923
95,1907
96,1889
97,1916
98,1960
99,1986
100,2020
101,2034
102,1994
103,1935
104,1908
105,1903
106,1903
107,1947
108,1976
109,1988
110,2005
111,2000
112,1979
113,1981
114,1960
115,1972
116,1982
117,1982
118,1986
119,1987
120,1945
121,1860
122,1596
123,1056
124,564
125,806
126,1949
127,3310
128,3852
129,3452
130,2783
131,1869
132,1520
133,2221
134,3072
135,3366
136,2930
137,1846
138,817
139,929
140,2088
141,3358
142,3670
143,2863
144,1792
145,1236
146,1515
147,2131
148,2546
149,2477
150,1763
151,812
152,483
153,944
154,1776
155,2506
156,2536
157,1878
158,1295
159,1247
160,1578
161,2075
162,2447
163,2448
164,2188
165,2096
166,2231
167,2200
168,2015
169,2030
170,2191
171,2218
172,2210
173,2299
174,2337
175,2179
176,2034
177,2111
178,2154
179,2114
180,2335
181,2666
182,2355
183,1601
184,1498
185,1898
186,2008
187,2083
188,2394
189,2337
190,1812
191,1595
192,1837
193,2138
194,2481
195,2672
196,2281
197,1530
198,1279
199,1562
200,1890
201,2124
202,2171
203,2009
204,1820
205,1795
206,1897
207,1981
208,2045
209,2091
210,2086
211,1931
212,1769
213,1846
214,1868
215,1680
216,1795
217,2127
218,2119
219,1911
220,1873
221,1820
222,1729
223,1901
224,2200
225,2278
226,2217
227,2126
228,1954
229,1877
230,1919
231,1875
232,1794
233,1957
234,2141
235,2182
236,2392
237,2792
238,2958
239,2713
240,2365
241,2175
242,2033
243,1732
244,1542
245,1715
246,1911
247,1818
248,1724
249,1898
250,2117
251,2297
252,2567
253,2630
254,2307
255,1968
256,1905
257,1794
258,1512
259,1504
260,1770
261,1859
262,1709
263,1704
264,1950
265,2171
266,2244
267,2270
268,2225
269,2076
270,1926
271,1806
272,1707
273,1820
274,2099
275,2120
276,1795
277,1575
278,1646
279,1792
280,2059
281,2420
282,2517
283,2274
284,1994
285,1926
286,2058
287,2296
288,2536
289,2576
290,2289
291,1893
292,1783
293,2032
294,2354
295,2502
296,2523
297,2439
298,2177
299,1953
300,2036
301,2195
302,2212
303,2191
304,2054
305,1724
306,1545
307,1648
308,1788
309,1848
310,1902
311,1910
312,1777
313,1742
314,1881
315,1921
316,1856
317,1858
318,1835
319,1731
320,1791
321,1995
322,2083
323,2031
324,2043
325,2126
326,2127
327,2118
328,2211
329,2297
330,2274
331,2204
332,2153
333,2135
334,2135
335,2172
336,2223
337,2218
338,2175
339,2117
340,2027
341,1973
342,2008
343,2058
344,2085
345,2157
346,2198
347,2111
348,2002
349,1922
350,1807
351,1720
352,1788
353,1929
354,1964
355,1918
356,1954
357,2042
358,2077
359,2119
360,2156
361,2129
362,2082
363,2062
364,2068
365,2047
366,2022
367,1958
368,1819
369,1669
370,1695
371,1961
372,2212
373,2233
374,2175
375,2187
376,2045
377,1825
378,1918
379,2185
380,2318
381,2397
382,2389
383,2115
384,1765
385,1726
386,1861
387,1922
388,2075
389,2360
390,2462
391,2292
392,2119
393,2085
394,2092
395,2074
396,2100
397,2140
398,2141
399,2095
400,2016
401,1936
402,1882
403,1900
404,1972
405,2049
406,2107
407,2132
408,2057
409,1975
410,1899
411,1802
412,1832
413,1868
414,1885
415,1985
416,2047
417,1980
418,1927
419,1963
420,2005
421,1991
422,1989
423,1972
424,1905
425,1918
426,2073
427,2202
428,2200
429,2166
430,2220
431,2202
432,2077
433,2279
434,2484
435,2379
436,2269
437,1979
438,1702
439,1725
440,1901
441,2112
442,2231
443,2182
444,2093
445,2014
446,2016
447,2156
448,2299
449,2313
450,2152
451,1838
452,1627
453,1687
454,1914
455,2128
456,2223
457,2189
458,2090
459,1990
460,1974
461,2079
462,2174
463,2212
464,2138
465,2001
466,1867
467,1845
468,1959
469,2088
470,2158
471,2212
472,2224
473,2152
474,2056
475,1978
476,1933
477,1974
478,2066
479,2152
480,2222
481,2204
482,2115
483,2066
484,2081
485,2155
486,2228
487,2209
488,2119
489,2016
490,1936
491,1907
492,1917
493,1867
494,1758
495,1722
496,1821
497,1956
498,2083
499,2168
500,2144
501,2031
502,1927
503,1917
504,1995
505,2058
506,2018
507,1980
508,1962
509,1951
510,1954
511,2008
512,2081
513,2148
514,2245
515,2301
516,2264
517,2176
518,2130
519,2153
520,2156
521,2104
522,2081
523,2092
524,2072
525,2073
526,2095
527,2085
528,2051
529,2030
530,1966
531,1961
532,2034
533,2117
534,2134
535,2101
536,2137
537,2125
538,2092
539,2013
540,1895
541,1809
542,1798
543,1894
544,2020
545,2072
546,1971
547,1870
548,1829
549,1878
550,2052
551,2298
552,2459
553,2377
554,2120
555,1923
556,1831
557,1864
558,2002
559,2172
560,2207
561,2108
562,2020
563,2005
564,2084
565,2228
566,2365
567,2389
568,2261
569,2075
570,1931
571,1876
572,1924
573,2001
574,2030
575,1975
576,1920
577,1922
578,1975
579,2085
580,2155
581,2136
582,2084
583,2005
584,1934
585,1897
586,1883
587,1905
588,1981
589,2074
590,2109
591,2092
592,2054
593,2019
594,2006
595,2051
596,2105
597,2053
598,1953
599,1852
600,1789
601,1803
602,1854
