INDEX,VOLTS_LSB
0,2057
1,2020
2,2047
3,2137
4,2817
5,4069
6,2459
7,1206
8,396
9,404
10,2040
11,2866
12,3873
13,2805
14,1384
15,397
16,630
17,2159
18,2881
19,3908
20,2917
21,1489
22,355
23,843
24,2223
25,2143
26,2214
27,2197
28,2067
29,1767
30,2091
31,2965
32,2122
33,1645
34,2144
35,1885
36,1773
37,2100
38,2109
39,2153
40,2141
41,1954
42,1943
43,1943
44,1890
45,1930
46,1990
47,1975
48,1961
49,1934
50,1931
51,1946
52,1981
53,2043
54,2108
55,2160
56,2182
57,2155
58,2070
59,1997
60,2014
61,2078
62,2184
63,2266
64,2260
65,2242
66,2210
67,2168
68,2157
69,2157
70,2125
71,2104
72,2074
73,2033
74,2017
75,2042
76,2088
77,2128
78,2126
79,2112
80,2060
81,2008
82,2002
83,1999
84,1974
85,1965
86,1947
87,1933
88,1943
89,1954
90,1958
91,1975
92,1979
93,1959
94,1891
95,1875
96,1864
97,1911
98,1974
99,2014
100,2041
101,2018
102,1963
103,1935
104,1910
105,1900
106,1908
107,1940
108,1959
109,1986
110,2015
111,1999
112,1980
113,1964
114,1950
115,1977
116,2013
117,2028
118,2044
119,2048
120,2012
121,1948
122,1723
123,1242
124,695
125,688
126,1621
127,3046
128,3840
129,3582
130,3013
131,2150
132,1521
133,1991
134,2858
135,3278
136,3062
137,2214
138,1117
139,835
140,1711
141,2998
142,3598
143,3065
144,2138
145,1480
146,1447
147,1880
148,2304
149,2370
150,1930
151,1164
152,613
153,804
154,1557
155,2247
156,2437
157,2047
158,1518
159,1356
160,1518
161,1876
162,2273
163,2410
164,2274
165,2175
166,2261
167,2265
168,2109
169,2058
170,2082
171,2151
172,2230
173,2361
174,2451
175,2319
176,2115
177,2065
178,2096
179,2121
180,2244
181,2476
182,2406
183,1915
184,1647
185,1837
186,1962
187,2005
188,2226
189,2300
190,2054
191,1866
192,1894
193,2018
194,2204
195,2432
196,2340
197,1939
198,1672
199,1614
200,1782
201,1937
202,2014
203,2025
204,1937
205,1918
206,1979
207,2019
208,2024
209,2026
210,2022
211,1987
212,1934
213,1922
214,1920
215,1878
216,1882
217,2020
218,2105
219,2042
220,1940
221,1887
222,1878
223,1906
224,2019
225,2140
226,2176
227,2151
228,2088
229,2064
230,2028
231,1921
232,1823
233,1868
234,2046
235,2244
236,2419
237,2660
238,2915
239,2876
240,2469
241,2107
242,2057
243,1882
244,1573
245,1628
246,1938
247,1942
248,1705
249,1763
250,2009
251,2154
252,2392
253,2707
254,2620
255,2200
256,2000
257,1931
258,1582
259,1353
260,1555
261,1877
262,1907
263,1801
264,1881
265,2086
266,2181
267,2178
268,2210
269,2187
270,2043
271,1920
272,1848
273,1855
274,1999
275,2112
276,1924
277,1588
278,1530
279,1697
280,1923
281,2179
282,2323
283,2223
284,2004
285,1936
286,2040
287,2172
288,2337
289,2430
290,2360
291,2139
292,1934
293,1938
294,2090
295,2242
296,2340
297,2385
298,2298
299,2082
300,1994
301,2031
302,2012
303,2048
304,2121
305,2001
306,1771
307,1646
308,1664
309,1707
310,1784
311,1906
312,1928
313,1837
314,1803
315,1782
316,1727
317,1767
318,1848
319,1817
320,1799
321,1892
322,1980
323,2034
324,2083
325,2115
326,2098
327,2074
328,2099
329,2146
330,2169
331,2187
332,2190
333,2125
334,2033
335,2060
336,2123
337,2149
338,2166
339,2130
340,2040
341,1933
342,1892
343,1930
344,1975
345,2077
346,2209
347,2218
348,2118
349,1962
350,1836
351,1767
352,1709
353,1761
354,1883
355,1929
356,1939
357,2012
358,2078
359,2102
360,2110
361,2141
362,2143
363,2116
364,2120
365,2133
366,2074
367,1939
368,1842
369,1778
370,1700
371,1809
372,2136
373,2304
374,2156
375,2093
376,2163
377,2017
378,1866
379,2077
380,2285
381,2269
382,2337
383,2389
384,2088
385,1786
386,1804
387,1892
388,1902
389,2099
390,2399
391,2423
392,2235
393,2123
394,2133
395,2178
396,2195
397,2176
398,2117
399,2036
400,1997
401,1998
402,1978
403,1974
404,1968
405,1967
406,1993
407,2036
408,2070
409,2062
410,1972
411,1851
412,1802
413,1841
414,1874
415,1918
416,1980
417,2017
418,1998
419,1946
420,1979
421,2061
422,2076
423,2007
424,1938
425,1865
426,1839
427,1928
428,2118
429,2240
430,2265
431,2274
432,2197
433,2072
434,2132
435,2300
436,2425
437,2342
438,2140
439,1867
440,1725
441,1764
442,1954
443,2141
444,2171
445,2120
446,2067
447,2043
448,2066
449,2141
450,2194
451,2184
452,2015
453,1836
454,1803
455,1828
456,1931
457,2089
458,2162
459,2132
460,2040
461,1949
462,1938
463,1984
464,2086
465,2162
466,2121
467,2006
468,1934
469,1931
470,1966
471,2013
472,2071
473,2115
474,2107
475,2055
476,1991
477,1919
478,1872
479,1878
480,1952
481,2059
482,2175
483,2236
484,2189
485,2112
486,2085
487,2104
488,2132
489,2113
490,2084
491,2040
492,1970
493,1918
494,1837
495,1738
496,1719
497,1809
498,1956
499,2064
500,2126
501,2165
502,2097
503,1981
504,1946
505,1972
506,1988
507,1989
508,1997
509,1981
510,1996
511,2029
512,2013
513,1998
514,2039
515,2107
516,2207
517,2269
518,2222
519,2109
520,2089
521,2093
522,2080
523,2087
524,2107
525,2109
526,2097
527,2091
528,2085
529,2073
530,2018
531,1965
532,1905
533,1932
534,2035
535,2116
536,2149
537,2167
538,2119
539,2152
540,2119
541,1966
542,1893
543,1868
544,1846
545,1896
546,1962
547,2031
548,1977
549,1933
550,1911
551,1973
552,2147
553,2307
554,2375
555,2292
556,2123
557,1981
558,1865
559,1872
560,2014
561,2162
562,2209
563,2139
564,2063
565,2058
566,2111
567,2203
568,2315
569,2352
570,2248
571,2059
572,1890
573,1851
574,1912
575,1988
576,2055
577,2042
578,1947
579,1911
580,1973
581,2054
582,2131
583,2168
584,2132
585,2043
586,1945
587,1901
588,1884
589,1902
590,1991
591,2087
592,2156
593,2172
594,2114
595,2032
596,2000
597,2004
598,2048
599,2101
600,2037
601,1975
602,1926
603,1825
604,1799
605,1852
606,1942
607,2021
608,2115
609,2126
610,2088
611,2110
612,2093
613,2090
614,2103
615,2113
616,2109
617,2102
618,2104
619,2140
620,2177
621,2206
622,2256
623,2298
624,2327
625,2311
626,2274
627,2222
628,2164
629,2145
630,2128
631,2091
632,2043
633,2011
634,2003
635,1989
636,1971
637,1999
638,1980
639,1958
640,1956
641,1948
642,1916
643,1890
644,1906
645,1967
646,1998
647,1985
648,1957
649,1910
650,1695
651,1907
652,1902
653,1780
654,2170
655,2074
656,1956
657,2205
658,1965
659,1911
660,2107
661,2093
662,2153
663,2198
664,2078
665,2001
666,1952
667,1921
668,1999
669,2114
670,2208
671,2286
672,2276
673,2214
674,2153
675,2101
676,2112
677,2107
678,2093
679,2097
680,2016
681,1950
682,1938
683,1966
684,2043
685,2113
686,2140
687,2118
688,2030
689,1971
690,1953
691,1913
692,1919
693,1921
694,1894
695,1883
696,1862
697,1878
698,1989
699,2077
700,2134
701,2179
702,2157
703,2078
704,2021
705,1957
706,1925
707,1940
708,1967
709,2002
710,2038
711,2031
712,2035
713,2030
714,2015
715,2074
716,2117
717,2140
718,2141
719,2087
720,2038
721,1986
722,1943
723,1960
724,1962
725,1978
726,2052
727,2057
728,2020
729,2010
730,2048
731,2085
732,2097
733,2143
734,2138
735,2117
736,2069
737,2021
738,2051
739,2078
740,2081
741,2089
742,2049
743,2006
744,2010
745,2021
746,2060
747,2089
748,2054
749,2023
750,2013
751,2030
752,2071
753,2101
754,2117
755,2091
756,2063
757,2043
758,2026
759,2047
760,2047
761,2064
762,2082
763,2056
764,2040
765,2038
766,2061
767,2082
768,2076
769,2063
770,2069
771,2004
772,1985
773,2008
774,2043
775,2070
776,2075
777,2059
778,2061
779,2095
780,2066
781,2059
782,2085
783,2077
784,2027
785,2010
786,2075
787,1905
788,2040
789,2044
790,1951
791,2057
792,2078
793,2005
794,2013
795,2005
796,2004
797,2031
798,1998
799,1935
800,1888
801,1849
802,1865
803,1910
804,1947
805,1996
806,2025
807,2039
808,2052
809,2048
810,2067
811,2085
812,2070
813,2057
814,2026
815,1987
816,1992
817,2035
818,2082
819,2135
820,2181
821,2179
822,2159
823,2138
824,2066
825,2092
826,2125
827,2092
828,2077
829,2104
830,2055
831,2007
832,2010
833,1999
834,2028
835,2070
836,2051
837,2111
838,2127
839,2081
840,2065
841,2041
842,1958
843,2003
844,2108
845,2143
846,2193
847,2218
848,2159
849,2108
850,2115
851,2109
852,2107
853,2115
854,2084
855,2089
856,2110
857,2089
858,2037
859,1986
860,1950
861,1967
862,2001
863,2005
864,2025
865,2018
866,2015
867,2016
868,1964
869,1909
870,1903
871,1914
872,1953
873,1983
874,2020
875,1994
876,2034
877,2070
878,2022
879,2074
880,2068
881,2053
882,2070
883,2070
884,2077
885,2091
886,2094
887,2073
888,2045
889,2019
890,2039
891,2061
892,2075
893,2073
894,2109
895,2065
896,2008
897,1991
898,1975
899,1986
900,2044
901,2089
902,2092
903,2081
904,2036
905,1967
906,1995
907,2031
908,2032
909,2036
910,2010
911,1976
912,1977
913,2003
914,2027
915,2042
916,2046
917,2030
918,2025
919,2042
920,2038
921,2056
922,2039
923,1996
924,2004
925,1999
926,1987
927,2010
928,2022
929,2024
930,2041
931,2052
932,2054
933,2052
934,2038
935,2012
936,2003
937,2035
938,2066
939,2073
940,2059
941,2025
942,2013
943,2026
944,2049
945,2083
946,2092
947,2073
948,2044
949,2057
950,2075
951,2061
952,2071
953,2081
954,2077
955,2061
956,2077
957,2077
958,2059
959,2056
960,2057
961,2017
962,1994
963,1978
964,1982
965,2010
966,2004
967,1985
968,1984
969,1984
970,1962
971,1988
972,2017
973,2049
974,2050
975,2043
976,2023
977,1982
978,1958
979,1959
980,1965
981,1999
982,2004
983,2001
984,2016
985,2042
986,2042
987,2050
988,2070
989,2100
990,2102
991,2086
992,2078
993,2054
994,2055
995,2094
996,2080
997,2089
998,2108
999,2097
1000,2100
1001,2129
1002,2130
1003,2129
1004,2122
1005,2087
1006,2043
1007,2038
1008,2008
1009,2045
1010,2075
1011,2076
1012,2079
1013,2064
1014,2023
1015,2005
1016,2006
1017,2011
1018,2002
1019,2013
1020,2001
1021,1960
1022,1936
1023,1916
1024,1929
1025,2025
1026,2075
1027,2093
1028,2082
1029,2033
1030,2031
1031,2040
1032,2037
1033,2070
1034,2082
1035,2058
1036,2050
1037,2056
1038,2091
1039,2107
1040,2133
1041,2130
1042,2117
1043,2119
1044,2122
1045,2137
1046,2131
1047,2117
1048,2139
1049,2139
1050,2123
1051,2102
1052,2083
1053,2082
1054,2071
1055,2058
1056,2079
1057,2048
1058,1992
1059,1992
1060,2005
1061,2014
1062,2024
1063,2052
1064,2040
1065,2013
1066,2018
1067,1987
1068,1962
1069,1981
1070,1990
1071,1980
1072,2009
1073,1989
1074,1969
1075,2002
1076,2008
1077,2006
1078,2009
1079,2004
1080,2010
1081,2024
1082,2024
1083,2033
1084,2052
1085,2044
1086,2037
1087,2037
1088,2001
1089,1976
1090,1994
1091,2024
1092,2051
1093,2060
1094,2047
1095,2042
1096,2031
1097,2023
1098,2069
1099,2088
1100,2082
1101,2066
1102,2064
1103,2060
1104,2053
1105,2068
1106,2074
1107,2087
1108,2106
1109,2108
1110,2042
1111,2060
1112,2059
1113,2044
1114,2046
1115,2091
1116,2083
1117,2054
1118,2026
1119,2051
1120,2052
1121,2032
1122,2046
1123,2032
1124,1991
1125,1976
1126,1975
1127,1990
1128,2014
1129,2021
1130,2017
1131,2004
1132,1985
1133,2000
1134,2016
1135,2017
1136,2047
1137,2064
1138,2055
1139,2006
1140,1959
1141,1979
1142,2002
1143,2043
1144,2069
1145,2044
1146,2023
1147,2031
1148,2028
1149,2012
1150,2034
1151,2063
1152,2067
1153,2054
1154,2045
1155,2032
1156,2022
1157,2042
1158,2046
1159,2079
1160,2086
1161,2075
1162,2085
1163,2106
1164,2115
1165,2121
1166,2090
1167,2077
1168,2090
1169,2067
1170,2041
1171,2058
1172,2079
1173,2100
1174,2085
1175,2047
1176,2039
1177,2052
1178,2040
1179,2049
1180,2056
1181,2055
1182,2056
1183,2020
1184,1985
1185,1983
1186,2002
1187,2009
1188,2031
1189,2018
1190,1997
1191,2022
1192,2001
1193,1994
1194,2025
1195,2054
1196,2061
1197,2028
1198,2003
1199,2034
1200,2040
1201,2029
1202,2040
1203,2060
1204,2075
1205,2046
1206,2013
1207,2035
1208,2067
1209,2069
1210,2079
1211,2097
1212,2068
1213,2044
1214,2066
1215,2064
1216,2082
1217,2144
1218,2115
1219,2116
1220,2099
1221,2087
1222,2094
1223,2062
1224,2056
1225,2089
1226,2102
1227,2077
1228,2079
1229,2073
1230,2071
1231,2074
1232,2085
1233,2106
1234,2063
1235,2034
1236,2054
1237,2035
1238,2052
1239,2070
1240,2053
1241,2032
1242,2005
1243,1993
1244,1998
1245,2027
1246,2049
1247,2060
1248,2069
1249,2063
1250,2062
1251,2052
1252,2046
1253,2080
1254,2084
1255,2079
1256,2078
1257,2069
1258,2051
1259,2037
1260,2036
1261,2036
1262,2055
1263,2053
1264,2041
1265,2042
1266,2019
1267,2032
1268,2071
1269,2065
1270,2042
1271,2035
1272,2020
1273,1999
1274,1991
1275,1950
1276,2195
1277,1958
1278,1960
1279,2227
1280,1818
1281,2004
1282,2094
1283,1898
1284,2049
1285,2086
1286,2002
1287,2042
1288,2007
1289,1986
1290,2045
1291,2046
1292,2026
1293,2005
1294,1965
1295,1953
1296,1979
1297,2010
1298,2042
1299,2046
1300,2061
1301,2025
1302,2018
1303,2025
1304,2021
1305,2044
1306,2048
1307,2035
1308,2020
1309,2011
1310,2010
1311,2003
1312,2011
1313,2012
1314,1990
1315,1996
1316,2018
1317,2020
1318,1990
1319,1990
1320,2025
1321,2043
