INDEX,VOLTS_LSB
0,1986
1,2007
2,2065
3,2071
4,2786
5,4072
6,2442
7,1230
8,365
9,388
10,2020
11,2835
12,3885
13,2779
14,1345
15,351
16,589
17,2094
18,2842
19,3929
20,2894
21,1469
22,356
23,811
24,2212
25,2290
26,2097
27,2130
28,2159
29,1554
30,2108
31,3086
32,2009
33,1754
34,2261
35,1844
36,1793
37,2095
38,2076
39,2164
40,2175
41,2000
42,1987
43,1998
44,1926
45,1950
46,1975
47,1943
48,1931
49,1942
50,1950
51,1975
52,1983
53,2007
54,2072
55,2103
56,2149
57,2218
58,2104
59,2020
60,1998
61,2018
62,2105
63,2192
64,2195
65,2210
66,2182
67,2097
68,2084
69,2105
70,2087
71,2050
72,2002
73,1975
74,1952
75,1950
76,2007
77,2052
78,2062
79,2080
80,2059
81,2012
82,1960
83,1917
84,1890
85,1891
86,1921
87,1959
88,1972
89,1971
90,1965
91,1946
92,1935
93,1932
94,1932
95,1931
96,1933
97,1953
98,1971
99,1986
100,2005
101,2033
102,2039
103,1985
104,1965
105,1962
106,1884
107,1918
108,1938
109,1978
110,2023
111,2030
112,2009
113,1944
114,1902
115,1931
116,2086
117,1936
118,2006
119,2066
120,1892
121,1830
122,1597
123,990
124,586
125,998
126,2212
127,3465
128,3771
129,3280
130,2642
131,1825
132,1636
133,2328
134,3052
135,3234
136,2793
137,1813
138,927
139,1068
140,2192
141,3361
142,3561
143,2828
144,1952
145,1429
146,1543
147,1977
148,2281
149,2222
150,1707
151,962
152,649
153,1039
154,1763
155,2342
156,2303
157,1786
158,1398
159,1393
160,1668
161,2046
162,2319
163,2220
164,2079
165,2164
166,2225
167,2241
168,2180
169,2063
170,2046
171,2100
172,2082
173,2134
174,2244
175,2148
176,2097
177,2185
178,2181
179,2125
180,2257
181,2389
182,2197
183,1777
184,1697
185,1942
186,2018
187,2069
188,2252
189,2170
190,1899
191,1808
192,1925
193,2104
194,2298
195,2454
196,2239
197,1890
198,1723
199,1736
200,1823
201,1898
202,1942
203,1958
204,1985
205,2010
206,2000
207,1990
208,1954
209,1920
210,1928
211,1942
212,1947
213,1993
214,1984
215,1885
216,1853
217,1956
218,2020
219,1990
220,2031
221,2089
222,2034
223,2006
224,2052
225,2073
226,2078
227,2103
228,2103
229,2025
230,1861
231,1721
232,1745
233,1969
234,2255
235,2493
236,2743
237,2984
238,2941
239,2516
240,2141
241,2080
242,1986
243,1667
244,1578
245,1829
246,1881
247,1691
248,1777
249,2087
250,2251
251,2395
252,2607
253,2518
254,2156
255,2046
256,2069
257,1746
258,1314
259,1311
260,1685
261,1950
262,1959
263,2005
264,2149
265,2137
266,1998
267,2003
268,2153
269,2216
270,2092
271,1971
272,1896
273,1872
274,2007
275,2082
276,1882
277,1717
278,1830
279,2022
280,2142
281,2254
282,2268
283,2128
284,2054
285,2124
286,2233
287,2354
288,2430
289,2463
290,2320
291,2090
292,2045
293,2154
294,2297
295,2385
296,2452
297,2456
298,2294
299,2146
300,2144
301,2167
302,2195
303,2235
304,2169
305,1961
306,1780
307,1705
308,1674
309,1757
310,1926
311,2007
312,1949
313,1859
314,1770
315,1705
316,1707
317,1781
318,1822
319,1788
320,1804
321,1862
322,1869
323,1926
324,2092
325,2206
326,2208
327,2131
328,2044
329,2085
330,2149
331,2164
332,2187
333,2181
334,2140
335,2108
336,2115
337,2174
338,2242
339,2217
340,2136
341,1974
342,1893
343,1989
344,2184
345,2261
346,2197
347,2043
348,1913
349,1856
350,1813
351,1871
352,1941
353,1920
354,1815
355,1755
356,1885
357,2124
358,2273
359,2313
360,2250
361,2083
362,1950
363,1924
364,1958
365,2019
366,2013
367,1956
368,1840
369,1612
370,1565
371,1931
372,2300
373,2273
374,2131
375,2109
376,1853
377,1569
378,1790
379,2206
380,2343
381,2322
382,2289
383,2012
384,1707
385,1802
386,2097
387,2189
388,2235
389,2340
390,2290
391,2115
392,2082
393,2222
394,2340
395,2375
396,2288
397,2073
398,2010
399,1916
400,1918
401,2052
402,2033
403,1979
404,1953
405,1911
406,1935
407,2002
408,2038
409,2018
410,1899
411,1756
412,1734
413,1735
414,1741
415,1866
416,1965
417,1948
418,1933
419,1927
420,1880
421,1904
422,2009
423,2026
424,1979
425,1937
426,1872
427,1842
428,1968
429,2199
430,2331
431,2321
432,2240
433,2139
434,2106
435,2187
436,2339
437,2424
438,2324
439,2114
440,1929
441,1867
442,1932
443,2162
444,2296
445,2260
446,2182
447,2090
448,2052
449,2063
450,2073
451,2102
452,2097
453,2004
454,1920
455,1874
456,1894
457,1934
458,2023
459,2073
460,2084
461,2067
462,2035
463,2027
464,2047
465,2092
466,2171
467,2138
468,1994
469,1903
470,1921
471,1979
472,2086
473,2172
474,2160
475,2066
476,1932
477,1845
478,1882
479,1991
480,2055
481,2168
482,2194
483,2182
484,2199
485,2055
486,2229
487,2256
488,1998
489,2313
490,2267
491,1968
492,2190
493,1844
494,1575
495,1759
496,1842
497,2040
498,2223
499,2189
500,2141
501,2058
502,1969
503,1976
504,2000
505,1997
506,1949
507,1860
508,1818
509,1815
510,1854
511,1936
512,2019
513,2073
514,2129
515,2162
516,2127
517,2066
518,2046
519,2090
520,2173
521,2197
522,2127
523,2028
524,1994
525,1999
526,2064
527,2146
528,2180
529,2115
530,1979
531,1878
532,1846
533,1880
534,1972
535,2089
536,2154
537,2140
538,2068
539,2021
540,1972
541,1948
542,1928
543,1935
544,1975
545,1914
546,1859
547,1893
548,1941
549,1942
550,1959
551,2071
552,2155
553,2170
554,2229
555,2276
556,2216
557,2128
558,2060
559,2006
560,1970
561,2013
562,2141
563,2206
564,2149
565,2079
566,2073
567,2074
568,2128
569,2185
570,2212
571,2148
572,2012
573,1921
574,1892
575,1909
576,1956
577,1962
578,1914
579,1912
580,1962
581,2025
582,2104
583,2129
584,2065
585,1983
586,1919
587,1905
588,1929
589,1988
590,2060
591,2095
592,2084
593,2061
594,2056
595,2052
596,2079
597,2095
598,2100
599,2081
600,2023
601,1966
602,1901
603,1860
604,1894
605,1951
606,1997
607,2025
608,1996
609,1995
610,2040
611,2046
612,2039
613,2026
614,2017
615,2040
616,2065
617,2081
618,2118
619,2137
620,2120
621,2132
622,2143
623,2165
624,2191
625,2200
626,2210
627,2208
628,2218
629,2246
630,2234
631,2171
632,2136
633,2135
634,2125
635,2097
636,2072
637,2036
638,1992
639,1958
640,1929
641,1906
642,1925
643,1965
644,1988
645,1985
646,1980
647,1975
648,1951
649,1929
650,1898
651,1888
652,1895
653,1910
654,1953
655,1987
656,1981
657,1988
658,1996
659,1990
660,2011
661,2046
662,2048
663,2045
664,2041
665,2011
666,1953
667,1927
668,1947
669,2036
670,2124
671,2180
672,2178
673,2146
674,2103
675,2092
676,2128
677,2145
678,2168
679,2164
680,2085
681,2059
682,2054
683,2076
684,2081
685,2138
686,2122
687,2113
688,2074
689,2057
690,2041
691,1992
692,1963
693,1953
694,1910
695,1903
696,1975
697,1995
698,2038
699,2067
700,2064
701,2063
702,2013
703,1974
704,2000
705,2032
706,2061
707,2063
708,2035
709,2000
710,1999
711,2044
712,2101
713,2151
714,2181
715,2194
716,2163
717,2143
718,2125
719,2088
720,2080
721,2077
722,2041
723,1998
724,1962
725,1968
726,2006
727,2052
728,2094
729,2111
730,2080
731,2044
732,1992
733,2011
734,2081
735,2071
736,2111
737,2105
738,2036
739,2017
740,2017
741,2023
742,2058
743,2073
744,2037
745,2019
746,2005
747,2002
748,1996
749,2013
750,2000
751,1979
