INDEX,VOLTS_LSB
0,1984
1,2147
2,2071
3,2261
4,3122
5,3906
6,2859
7,1726
8,0
9,167
10,2454
11,2882
12,3829
13,3194
14,1765
15,0
16,326
17,2411
18,3033
19,3833
20,3242
21,1917
22,33
23,432
24,2337
25,2320
26,1933
27,2186
28,2167
29,1335
30,2091
31,3153
32,1878
33,1660
34,2174
35,1721
36,1758
37,2101
38,2072
39,2141
40,2092
41,1890
42,1910
43,1930
44,1899
45,1952
46,1954
47,1913
48,1902
49,1890
50,1904
51,1928
52,1955
53,1997
54,2049
55,2080
56,2099
57,2061
58,2045
59,2008
60,2013
61,2102
62,2145
63,2181
64,2182
65,2165
66,2158
67,2127
68,2115
69,2104
70,2046
71,1994
72,1985
73,1981
74,1993
75,2026
76,2052
77,2074
78,2066
79,2053
80,2030
81,1995
82,1964
83,1926
84,1901
85,1897
86,1895
87,1906
88,1918
89,1950
90,1943
91,1920
92,1911
93,1883
94,1874
95,1891
96,1923
97,1941
98,1963
99,1988
100,1983
101,1980
102,1979
103,1963
104,1932
105,1900
106,1876
107,1917
108,1974
109,2011
110,2033
111,2019
112,1968
113,1938
114,1925
115,1951
116,1985
117,2003
118,2001
119,1969
120,1873
121,1638
122,1140
123,613
124,706
125,1743
126,3105
127,3786
128,3521
129,2882
130,1994
131,1542
132,2147
133,3006
134,3326
135,2962
136,1958
137,884
138,871
139,1948
140,3236
141,3654
142,2924
143,1856
144,1226
145,1465
146,2127
147,2586
148,2516
149,1824
150,861
151,433
152,848
153,1673
154,2433
155,2554
156,1967
157,1321
158,1213
159,1529
160,2026
161,2438
162,2478
163,2215
164,2085
165,2202
166,2196
167,2017
168,2003
169,2165
170,2231
171,2227
172,2294
173,2347
174,2194
175,2016
176,2046
177,2141
178,2133
179,2295
180,2647
181,2394
182,1607
183,1442
184,1862
185,2022
186,2094
187,2383
188,2352
189,1859
190,1583
191,1793
192,2103
193,2425
194,2657
195,2311
196,1589
197,1305
198,1524
199,1851
200,2101
201,2150
202,1973
203,1870
