INDEX,VOLTS_LSB
0,1934
1,2096
2,2057
3,2277
4,3090
5,3965
6,2879
7,1679
8,0
9,137
10,2302
11,2956
12,3882
13,3200
14,1806
15,0
16,364
17,2403
18,2900
19,3946
20,3252
21,1822
22,58
23,416
24,2291
25,2375
26,1946
27,2125
28,2244
29,1346
30,2000
31,3208
32,1851
33,1631
34,2243
35,1739
36,1754
37,2109
38,2048
39,2125
40,2109
41,1926
42,1941
43,1943
44,1876
45,1908
46,1938
47,1909
48,1917
49,1919
50,1896
51,1907
52,1934
53,1967
54,2035
55,2099
56,2122
57,2082
58,2017
59,1987
60,2000
61,2076
62,2169
63,2194
64,2192
65,2183
66,2133
67,2104
68,2099
69,2104
70,2087
71,2027
72,1990
73,1972
74,1967
75,2019
76,2078
77,2117
78,2106
79,2060
80,2018
81,1973
82,1945
83,1937
84,1929
85,1909
86,1896
87,1890
88,1898
89,1920
90,1950
91,1955
92,1928
93,1896
94,1880
95,1874
96,1891
97,1930
98,1976
99,2004
100,2010
101,1993
102,1957
103,1925
104,1915
105,1890
106,1900
107,1934
108,1952
109,1986
110,2009
111,1996
112,1994
113,1972
114,1951
115,1955
116,1967
117,1988
118,2005
119,1992
120,1901
121,1644
122,1138
123,602
124,688
125,1701
126,3098
127,3817
128,3543
129,2899
130,1997
131,1514
132,2122
133,2994
134,3353
135,3019
136,2002
137,902
138,849
139,1908
140,3223
141,3674
142,2951
143,1884
144,1237
145,1444
146,2100
147,2573
148,2531
149,1860
150,889
151,431
152,819
153,1647
154,2430
155,2586
156,1993
157,1340
158,1230
159,1538
160,1997
161,2418
162,2493
163,2253
164,2130
165,2241
166,2211
167,1993
168,1970
169,2152
170,2255
171,2275
172,2329
173,2344
174,2170
175,1988
176,2059
177,2171
178,2149
179,2325
180,2653
181,2382
182,1602
183,1443
184,1870
185,2049
186,2120
187,2379
188,2339
189,1849
190,1572
191,1799
192,2131
193,2460
194,2686
195,2315
196,1584
197,1305
198,1532
199,1897
200,2156
201,2178
202,2011
203,1840
204,1789
205,1878
206,1990
207,2074
208,2120
209,2090
210,1937
211,1778
212,1839
213,1904
214,1774
215,1828
216,2112
217,2128
218,1908
219,1863
220,1865
221,1793
222,1927
223,2217
224,2285
225,2180
226,2126
227,1997
228,1894
229,1914
230,1842
231,1827
232,2071
233,2236
234,2248
235,2541
236,3028
237,2993
238,2500
239,2234
240,2184
241,1846
242,1537
243,1724
244,1969
245,1835
246,1671
247,1838
248,2025
249,2137
250,2471
251,2760
252,2500
253,2067
254,1997
255,1926
256,1588
257,1480
258,1708
259,1857
260,1762
261,1673
262,1824
263,2054
264,2178
265,2252
266,2299
267,2190
268,2002
269,1886
270,1788
271,1760
272,1943
273,2063
274,1858
275,1640
276,1665
277,1797
278,1978
279,2199
280,2429
281,2295
282,2172
283,2187
284,2027
285,2230
286,2461
287,2383
288,2255
289,2059
290,1906
291,2011
292,2294
293,2508
294,2520
295,2429
296,2256
297,2027
298,1985
299,2105
300,2198
301,2233
302,2138
303,1821
304,1555
305,1574
306,1672
307,1748
308,1888
309,2015
310,1936
311,1746
312,1737
313,1793
314,1779
315,1816
316,1899
317,1850
318,1808
319,1922
320,1986
321,1929
322,1963
323,2113
324,2191
325,2155
326,2168
327,2269
328,2272
329,2180
330,2107
331,2075
332,2089
333,2187
334,2271
335,2260
336,2186
337,2076
338,1947
339,1908
340,1978
341,2119
342,2231
343,2239
344,2121
345,1989
346,1922
347,1883
348,1833
349,1772
350,1804
351,1877
352,1881
353,1903
354,1967
355,2074
356,2131
357,2121
358,2127
359,2106
360,2057
361,2079
362,2142
363,2109
364,1976
365,1828
366,1688
367,1617
368,1792
369,2098
370,2219
371,2208
372,2222
373,2107
374,1912
375,1931
376,2104
377,2228
378,2342
379,2433
380,2208
381,1833
382,1722
383,1786
384,1831
385,2037
386,2360
387,2440
388,2289
389,2174
390,2161
391,2157
392,2099
393,2044
394,2032
395,2033
396,2038
397,2075
398,2082
399,1965
400,1873
401,1903
402,1998
403,2092
404,2107
405,2075
406,1975
407,1863
408,1842
409,1872
410,1853
411,1827
412,1885
413,1993
414,2031
415,2008
416,2030
417,2007
418,1889
419,1833
420,1898
421,1955
422,2020
423,2128
424,2152
425,2086
426,2099
427,2174
428,2199
429,2214
430,2288
431,2340
432,2288
433,2132
434,1965
435,1839
436,1825
437,1953
438,2090
439,2139
440,2124
441,2075
442,2026
443,2060
444,2207
445,2302
446,2258
447,2089
448,1848
449,1688
450,1721
451,1926
452,2122
453,2186
454,2139
455,2046
456,1961
457,1946
458,2026
459,2114
460,2161
461,2149
462,2099
463,2002
464,1889
465,1861
466,1920
467,2040
468,2176
469,2241
470,2213
471,2134
472,1997
473,1897
474,1890
475,1977
476,2145
477,2280
478,2305
479,2232
480,2116
481,2048
482,2069
483,2093
484,2120
485,2156
486,2146
487,2054
488,1930
489,1777
490,1661
491,1652
492,1775
493,1951
494,2107
495,2153
496,2125
497,2021
498,1908
499,1896
500,1962
501,2039
502,2040
503,2001
504,1976
505,1959
506,1972
507,1988
508,2010
509,2078
510,2181
511,2274
512,2291
513,2232
514,2152
515,2095
516,2091
517,2112
518,2133
519,2129
520,2139
521,2129
522,2080
523,2021
524,2009
525,2012
526,1967
527,1980
528,2058
529,2116
530,2132
531,2144
532,2145
533,2117
534,2076
535,2038
536,1962
537,1881
538,1823
539,1846
540,1959
541,2025
542,1962
543,1908
544,1919
545,1949
546,2054
547,2270
548,2449
549,2285
550,2101
551,1963
552,1858
553,1918
554,2090
555,2209
556,2179
557,2040
558,1989
559,2071
560,2175
561,2278
562,2346
563,2307
564,2178
565,2055
566,2013
567,2018
568,2024
569,2019
570,1982
571,1935
572,1929
573,1965
574,2019
575,2085
576,2150
577,2137
578,2080
579,2019
580,1944
581,1908
582,1937
583,1993
584,2012
585,2035
586,2054
587,2042
588,2045
589,2060
590,2076
591,2074
592,2048
593,2003
594,1933
595,1895
596,1888
597,1862
598,1834
599,1856
600,1911
601,1991
602,2073
603,2104
604,2075
605,2101
606,2124
607,2128
608,2133
609,2099
610,2055
611,2020
612,2023
613,2104
614,2222
615,2310
616,2334
617,2314
618,2296
619,2291
620,2298
621,2283
622,2251
623,2184
624,2094
625,1989
626,1931
627,1930
628,1960
629,2023
630,2052
631,2006
632,1936
633,1883
634,1872
635,1897
636,1934
637,1977
638,1991
639,1968
640,1917
641,1856
642,1834
643,1825
644,1844
645,1914
646,1987
647,2062
648,2104
649,2074
650,2026
651,2015
652,2059
653,2156
654,2203
655,2159
656,2086
657,2010
658,1952
659,1971
660,2040
661,2134
662,2171
663,2194
664,2204
665,2202
666,2181
667,2160
668,2120
669,2084
670,2065
671,2061
672,2013
673,1954
674,1936
675,1940
676,1961
677,2022
678,2079
679,2096
680,2030
681,1973
682,1913
683,1893
684,1932
685,1957
686,1941
687,1893
688,1869
689,1884
690,1921
691,1997
692,2099
693,2170
694,2168
695,2112
696,2054
697,2001
698,1983
699,1988
700,1983
701,2002
702,2029
703,2039
704,2042
705,2045
706,2052
707,2082
708,2100
709,2105
710,2116
711,2112
712,2092
713,2074
714,2023
715,1978
716,1969
717,1995
718,2016
719,2044
720,2070
721,2061
722,2051
723,2064
724,2126
725,2164
726,2158
727,2130
728,2065
729,2011
730,1999
731,2008
732,2017
733,2022
734,2001
735,1963
736,1981
737,2006
738,2037
739,2055
740,2025
741,1993
742,1991
743,2018
744,2031
745,2019
746,1994
747,1966
748,1972
749,2002
750,2017
751,2034
752,2050
753,2062
754,2042
755,2022
756,2049
757,2067
758,2074
759,2096
760,2112
761,2089
762,2053
763,2032
764,2023
765,2066
766,2124
767,2155
768,2148
769,2123
770,2091
771,2081
772,2103
773,2129
774,2112
775,2075
776,2042
777,2024
778,2009
779,2027
780,2060
781,2061
782,2043
783,2016
784,2005
785,2009
786,2010
787,2020
788,2011
789,2005
790,1976
791,1907
792,1870
793,1882
794,1901
795,1967
796,2031
797,2051
798,2043
799,2027
800,2019
801,2039
802,2092
803,2161
804,2162
805,2093
806,2052
807,2016
808,2012
809,2107
810,2215
811,2233
812,2218
813,2153
814,2076
815,2065
816,2100
817,2146
818,2177
819,2149
820,2062
821,1994
822,1968
823,1984
824,2029
825,2029
826,2011
827,1982
828,1943
829,1953
830,1993
831,2015
832,2049
833,2069
834,2051
835,2030
836,2032
837,2059
838,2088
839,2112
840,2110
841,2106
842,2080
843,2082
844,2127
845,2158
846,2168
847,2159
848,2109
849,2038
850,2005
851,2016
852,2022
853,2021
854,2005
855,1982
856,1952
857,1963
858,1993
859,1999
860,1983
861,1970
862,1953
863,1931
864,1925
865,1956
866,1986
867,2011
868,2029
869,2024
870,2024
871,2038
872,2054
873,2084
874,2097
875,2084
876,2057
877,2030
878,2026
879,2020
880,2045
881,2070
882,2061
883,2064
884,2067
885,2063
886,2065
887,2077
888,2064
889,2046
890,2035
891,2046
892,2056
893,2026
894,2017
895,2044
896,2047
897,2047
898,2070
899,2041
900,2030
901,2047
902,2043
903,2050
904,2071
905,2053
906,2029
907,2053
908,2070
909,2092
910,2091
911,2068
912,2027
913,1986
914,1983
915,2006
916,2002
917,1940
918,2058
919,2033
920,1992
921,2113
922,1996
923,1970
924,2058
925,1983
926,1990
927,2056
928,2021
929,2024
930,2043
931,2036
932,2073
933,2113
934,2092
935,2078
936,2065
937,2037
938,2066
939,2092
940,2091
941,2087
942,2071
943,2072
944,2064
945,2066
946,2079
947,2086
948,2083
949,2059
950,2029
951,1989
952,1956
953,1957
954,1984
955,1996
956,2004
957,1991
958,1963
959,1952
960,1955
961,1972
962,1994
963,2004
964,1992
965,1988
966,1989
967,1994
968,1998
969,1985
970,1970
971,1985
972,2002
973,2037
974,2080
975,2083
976,2078
977,2082
978,2061
979,2053
980,2053
981,2071
982,2082
983,2103
984,2099
985,2064
986,2044
987,2036
988,2059
989,2135
990,2169
991,2179
992,2157
993,2098
994,2040
995,2028
996,2038
997,2049
998,2068
999,2072
1000,2056
1001,2050
1002,2043
1003,2041
1004,2035
1005,2034
1006,2054
1007,2046
1008,2029
1009,1984
1010,1929
1011,1914
1012,1929
1013,1978
1014,2022
1015,2030
1016,2023
1017,2001
1018,2005
1019,2014
1020,2014
1021,2006
1022,1992
1023,1971
1024,1970
1025,1996
1026,2033
1027,2042
1028,2030
1029,2018
1030,2028
1031,2061
1032,2090
1033,2118
1034,2102
1035,2048
1036,2023
1037,2023
1038,2037
1039,2052
1040,2070
1041,2067
1042,2067
1043,2044
1044,2023
1045,2025
1046,2037
1047,2059
1048,2094
1049,2111
1050,2108
1051,2067
1052,2048
1053,2024
1054,2039
1055,2083
1056,2068
1057,2040
1058,2010
1059,1972
1060,1976
1061,1980
1062,2012
1063,2039
1064,2031
1065,2019
1066,1995
1067,1992
1068,2019
1069,2012
1070,2023
1071,2016
1072,1998
1073,2000
1074,2014
1075,2008
1076,2000
1077,2011
1078,2023
1079,2004
1080,2002
1081,2017
1082,2027
1083,2045
1084,2063
1085,2076
1086,2091
1087,2098
1088,2086
1089,2083
1090,2079
1091,2089
1092,2099
1093,2094
1094,2076
1095,2084
1096,2069
1097,2048
1098,2074
1099,2087
1100,2085
1101,2107
1102,2085
1103,2064
1104,2057
1105,2038
1106,2040
1107,2052
1108,2051
1109,2040
1110,2027
1111,2002
1112,1986
1113,1993
1114,1990
1115,1993
1116,1993
1117,1985
1118,2001
1119,2013
1120,2018
1121,2026
1122,2030
1123,2030
1124,2035
1125,2038
1126,2036
1127,2035
1128,2016
1129,1991
1130,1991
1131,2017
1132,2035
1133,2054
1134,2073
1135,2072
1136,2064
1137,2084
1138,2102
1139,2102
1140,2116
1141,2091
1142,2054
1143,2050
1144,2053
1145,2056
1146,2076
1147,2083
1148,2094
1149,2098
1150,2080
1151,2069
1152,2084
1153,2086
1154,2076
1155,2070
1156,2060
1157,2026
1158,1997
1159,2003
1160,1994
1161,2007
1162,2022
1163,2010
1164,1993
1165,1983
1166,1998
1167,2019
1168,2016
1169,2022
1170,2023
1171,1995
1172,1982
1173,1990
1174,2019
1175,2053
1176,2062
1177,2056
1178,2030
1179,2010
1180,2015
1181,2029
1182,2045
1183,2070
1184,2066
1185,2053
1186,2037
1187,2012
1188,2037
1189,2061
1190,2070
1191,2092
1192,2104
1193,2088
1194,2074
1195,2066
1196,2067
1197,2067
1198,2071
1199,2072
1200,2060
1201,2075
1202,2088
1203,2089
1204,2106
1205,2107
1206,2109
1207,2096
1208,2095
1209,2109
1210,2084
1211,2055
1212,2038
1213,2017
1214,2003
1215,2008
1216,2036
1217,2061
1218,2068
1219,2055
1220,2033
1221,2019
1222,1996
1223,2009
1224,2013
1225,2017
1226,2037
1227,2032
1228,2016
1229,2000
1230,1986
1231,1999
1232,2030
1233,2062
1234,2081
1235,2078
1236,2058
1237,2057
1238,2057
1239,2066
1240,2088
1241,2100
1242,2105
1243,2090
1244,2076
1245,2089
1246,2058
1247,2027
1248,2043
1249,2059
1250,2060
1251,2056
1252,2052
1253,2037
1254,2051
1255,2077
1256,2090
1257,2095
1258,2081
1259,2053
1260,2027
1261,2021
1262,2045
1263,2047
1264,2033
1265,2024
1266,1996
1267,1980
1268,2032
1269,2058
1270,2064
1271,2082
1272,2042
1273,2011
1274,2016
1275,2019
1276,2026
1277,2047
1278,2047
1279,2024
1280,2005
1281,2009
1282,2015
1283,2044
1284,2072
1285,2081
1286,2057
1287,2034
1288,2018
1289,2021
1290,2058
1291,2092
1292,2111
1293,2103
1294,2076
1295,2055
1296,2034
1297,2054
1298,2086
1299,2080
1300,2058
1301,2042
1302,2032
1303,2027
1304,2045
1305,2049
1306,2062
1307,2070
1308,2054
1309,2045
1310,2048
1311,2049
1312,2063
1313,2068
1314,2053
1315,2045
1316,2017
1317,1991
1318,1989
1319,2017
1320,2036
1321,2052
1322,2066
1323,2038
1324,2009
1325,2020
1326,2037
1327,2038
1328,2050
1329,2039
1330,2007
1331,1981
1332,1979
1333,2008
1334,2043
1335,2046
1336,2052
1337,2055
1338,2028
1339,2023
1340,2054
1341,2030
1342,2021
1343,2035
1344,2006
1345,1989
1346,1989
1347,2014
1348,2039
1349,2053
1350,2046
1351,2037
1352,2037
1353,2028
1354,2031
1355,2057
1356,2062
1357,2079
1358,2070
1359,2038
1360,2036
1361,2049
1362,2069
1363,2098
1364,2091
1365,2082
1366,2071
1367,2040
1368,2033
1369,2036
1370,2038
1371,2045
1372,2059
1373,2050
1374,2040
1375,2034
1376,2013
1377,2011
1378,2023
1379,2038
1380,2057
1381,2035
1382,1992
1383,1979
1384,1993
1385,2005
1386,2043
1387,2061
1388,2048
1389,2047
1390,2063
1391,2058
1392,2070
1393,2084
1394,2063
1395,2041
1396,2036
1397,2023
1398,2021
1399,2037
1400,2056
1401,2056
1402,2058
1403,2054
1404,2054
1405,2052
1406,2050
1407,2053
1408,2054
1409,2041
1410,2031
1411,2021
1412,2002
1413,2025
1414,2056
1415,2053
1416,2055
1417,2046
1418,2029
1419,2047
1420,2072
1421,2100
1422,2105
1423,2084
1424,2052
1425,2042
1426,2048
1427,2069
1428,2097
1429,2109
1430,2082
1431,2063
1432,2037
1433,2018
1434,2033
1435,2060
1436,2065
1437,2051
1438,2040
1439,2030
1440,2016
1441,2012
1442,2018
1443,2041
1444,2055
1445,2039
1446,2018
1447,1997
1448,1992
1449,2013
1450,2017
1451,2020
1452,2027
1453,2019
1454,2020
