INDEX,VOLTS_LSB
0,2096
1,2049
2,2044
3,2198
4,2849
5,4000
6,2471
7,1189
8,247
9,483
10,2029
11,2804
12,3883
13,2721
14,1374
15,374
16,532
17,2146
18,2948
19,3864
20,2940
21,1552
22,341
23,736
24,2360
25,2358
26,1925
27,2257
28,2235
29,1465
30,2162
31,3122
32,1903
33,1714
34,2248
35,1825
36,1834
37,2141
38,2125
39,2170
40,2172
41,1980
42,1994
43,2030
44,1948
45,1953
46,1938
47,1879
48,1909
49,1920
50,1929
51,1956
52,1960
53,1877
54,2254
55,2156
56,2066
57,2388
58,1973
59,1894
60,2133
61,1925
62,2044
63,2240
64,2203
65,2240
66,2201
67,2077
68,2064
69,2065
70,2036
71,2023
72,2016
73,2015
74,2048
75,2059
76,2048
77,2061
78,2101
79,2086
80,2065
81,2034
82,1986
83,1966
84,1944
85,1898
86,1904
87,1924
88,1937
89,1975
90,1966
91,1939
92,1933
93,1929
94,1915
95,1924
96,1954
97,1964
98,1966
99,1993
100,1995
101,1994
102,1978
103,1955
104,1924
105,1881
106,1862
107,1912
108,1948
109,1997
110,2044
111,2024
112,2002
113,1973
114,1942
115,1943
116,1983
117,2019
118,2039
119,2043
120,1960
121,1807
122,1462
123,888
124,553
125,1006
126,2250
127,3508
128,3757
129,3274
130,2626
131,1760
132,1648
133,2443
134,3134
135,3222
136,2704
137,1636
138,777
139,1148
140,2362
141,3413
142,3419
143,2558
144,1662
145,1343
146,1652
147,2181
148,2475
149,2262
150,1572
151,790
152,580
153,1100
154,1907
155,2465
156,2351
157,1732
158,1319
159,1353
160,1678
161,2079
162,2361
163,2347
164,2171
165,2194
166,2293
167,2172
168,2004
169,1997
170,2067
171,2158
172,2259
173,2369
174,2356
175,2127
176,1986
177,2073
178,2090
179,2127
180,2378
181,2486
182,2119
183,1647
184,1686
185,1948
186,1983
187,2084
188,2277
189,2147
190,1845
191,1799
192,1949
193,2095
194,2299
195,2370
196,2026
197,1605
198,1533
199,1676
200,1859
201,1999
202,2005
203,1944
204,1914
205,1923
206,1947
207,1973
208,1982
209,1984
210,1964
211,1883
212,1838
213,1854
214,1828
215,1782
216,1879
217,2073
218,2078
219,1949
220,1878
221,1829
222,1806
223,1941
224,2102
225,2176
226,2184
227,2103
228,2012
229,1922
230,1847
231,1784
232,1802
233,2014
234,2206
235,2276
236,2495
237,2851
238,2922
239,2593
240,2236
241,2134
242,1924
243,1568
244,1598
245,1946
246,2001
247,1770
248,1808
249,2023
250,2092
251,2277
252,2627
253,2614
254,2216
255,2019
256,1970
257,1655
258,1368
259,1565
260,1864
261,1879
262,1810
263,1913
264,2105
265,2204
266,2219
267,2221
268,2138
269,1984
270,1871
271,1808
272,1822
273,1956
274,2050
275,1870
276,1605
277,1605
278,1736
279,1936
280,2191
281,2296
282,2215
283,2077
284,2065
285,2145
286,2239
287,2359
288,2401
289,2263
290,2047
291,1923
292,1981
293,2171
294,2341
295,2399
296,2401
297,2305
298,2137
299,2091
300,2163
301,2146
302,2149
303,2177
304,1998
305,1749
306,1651
307,1683
308,1719
309,1790
310,1907
311,1922
312,1855
313,1832
314,1744
315,1787
316,1800
317,1824
318,1860
319,1886
320,1938
321,2013
322,2047
323,2055
324,2104
325,2124
326,2104
327,2100
328,2146
329,2175
330,2224
331,2238
332,2122
333,2046
334,2126
335,2208
336,2261
337,2318
338,2261
339,2145
340,2032
341,1982
342,1973
343,2006
344,2101
345,2222
346,2226
347,2094
348,1968
349,1861
350,1755
351,1710
352,1781
353,1872
354,1928
355,1990
356,2057
357,2127
358,2127
359,2073
360,2072
361,2059
362,2042
363,2113
364,2124
365,2038
366,1908
367,1770
368,1640
369,1630
370,1874
371,2191
372,2214
373,2111
374,2157
375,2095
376,1890
377,1937
378,2145
379,2213
380,2238
381,2359
382,2227
383,1877
384,1772
385,1845
386,1848
387,1938
388,2238
389,2438
390,2352
391,2242
392,2228
393,2222
394,2232
395,2190
396,2104
397,2020
398,1997
399,2013
400,2017
401,2001
402,1948
403,1943
404,2022
405,2045
406,2050
407,2094
408,2031
409,1901
410,1865
411,1863
412,1915
413,1899
414,1910
415,1978
416,1967
417,1944
418,1973
419,2053
420,2072
421,2019
422,1927
423,1835
424,1805
425,1938
426,2110
427,2195
428,2187
429,2176
430,2153
431,2109
432,2154
433,2308
434,2400
435,2324
436,2122
437,1886
438,1766
439,1819
440,1978
441,2083
442,2098
443,2072
444,2032
445,2022
446,2084
447,2178
448,2223
449,2176
450,2036
