INDEX,VOLTS_LSB
0,2066
1,2054
2,2027
3,2116
4,2805
5,3997
6,2433
7,1235
8,279
9,440
10,2095
11,2722
12,3911
13,2714
14,1278
15,378
16,596
17,2126
18,2860
19,3893
20,2858
21,1451
22,400
23,704
24,2228
25,2380
26,1942
27,2095
28,2200
29,1541
30,2190
31,3104
32,1956
33,1781
34,2291
35,1844
36,1837
37,2143
38,2130
39,2216
40,2158
41,1963
42,1985
43,1970
44,1898
45,1912
46,1913
47,1911
48,1906
49,1882
50,1892
51,1919
52,1917
53,1943
54,1999
55,2066
56,2111
57,2082
58,2020
59,1970
60,1954
61,2034
62,2140
63,2189
64,2215
65,2200
66,2151
67,2093
68,2093
69,2093
70,2109
71,2087
72,2045
73,2041
74,1994
75,1999
76,2069
77,2103
78,2130
79,2128
80,2091
81,2016
82,1955
83,1918
84,1901
85,1906
86,1913
87,1937
88,1927
89,1917
90,1929
91,1926
92,1922
93,1911
94,1886
95,1880
96,1886
97,1895
98,1931
99,1966
100,1997
101,2014
102,2003
103,1954
104,1905
105,1869
106,1884
107,1921
108,1948
109,2014
110,2061
111,2055
112,1991
113,1913
114,1915
115,1969
116,1999
117,2026
118,2036
119,2024
120,1954
121,1847
122,1678
123,1309
124,740
125,579
126,1287
127,2603
128,3628
129,3639
130,3093
131,2339
132,1641
133,1856
134,2662
135,3241
136,3187
137,2433
138,1328
139,868
140,1461
141,2742
142,3636
143,3328
144,2435
145,1642
146,1408
147,1796
148,2296
149,2405
150,2112
151,1390
152,674
153,666
154,1299
155,2056
156,2444
157,2185
158,1602
159,1268
160,1365
161,1736
162,2133
163,2343
164,2239
165,2081
166,2158
167,2230
168,2070
169,1996
170,2060
171,2166
172,2245
173,2322
174,2414
175,2338
176,2122
177,2054
178,2109
179,2120
180,2192
181,2436
182,2493
183,2037
184,1639
185,1762
186,1965
187,2000
188,2179
189,2302
190,2096
191,1821
192,1828
193,1991
194,2176
195,2382
196,2362
197,1968
198,1609
199,1570
200,1706
201,1911
202,2013
203,1974
204,1893
205,1859
206,1893
207,1938
208,1979
209,1983
210,1993
211,1970
212,1881
213,1721
214,2015
215,1955
216,1740
217,2138
218,2080
219,1922
220,2093
221,1845
222,1751
223,1892
