INDEX,VOLTS_LSB
0,2066
1,2027
2,2008
3,2127
4,2795
5,4034
6,2463
7,1232
8,388
9,413
10,2071
11,2826
12,3852
13,2772
14,1409
15,460
16,645
17,2095
18,2953
19,3849
20,2924
21,1520
22,439
23,645
24,2277
25,2516
26,1935
27,2183
28,2334
29,1394
30,2133
31,3182
32,1904
33,1750
34,2278
35,1785
36,1797
37,2084
38,2046
39,2161
40,2148
41,1984
42,1998
43,2003
44,1935
45,1963
46,2000
47,1972
48,1960
49,1972
50,1971
51,1972
52,1998
53,2034
54,2087
55,2125
56,2150
57,2146
58,2101
59,2011
60,1971
61,2036
62,2125
63,2198
64,2256
65,2224
66,2168
67,2141
68,2108
69,2114
70,2107
71,2054
72,2035
73,2017
74,1988
75,1994
76,2033
77,2061
78,2100
79,2116
80,2088
81,2056
82,2016
83,1987
84,1966
85,1964
86,1984
87,2013
88,2007
89,1999
90,2008
91,1977
92,1973
93,1961
94,1968
95,1960
96,1926
97,1964
98,2001
99,1998
100,2052
101,2065
102,2038
103,2027
104,1991
105,1946
106,1927
107,1911
108,1952
109,2004
110,2020
111,2036
112,1979
113,1912
114,1907
115,1932
116,1952
117,1987
118,2013
119,2004
120,1946
121,1776
122,1373
123,807
124,588
125,1247
126,2630
127,3692
128,3668
129,3145
130,2409
131,1598
132,1716
133,2523
134,3129
135,3120
136,2436
137,1378
138,793
139,1307
140,2589
141,3597
142,3402
143,2529
144,1767
145,1442
146,1669
147,2078
148,2285
149,2091
150,1443
151,739
152,643
153,1190
154,1945
155,2403
156,2209
157,1657
158,1360
159,1448
160,1782
161,2189
162,2372
163,2250
164,2117
165,2180
166,2252
167,2167
168,2060
169,2079
170,2119
171,2135
172,2224
173,2339
174,2302
175,2170
176,2130
177,2158
178,2153
179,2192
180,2365
181,2431
182,2026
183,1639
184,1776
185,1964
186,1969
187,2143
188,2264
189,2065
190,1848
191,1865
192,2021
193,2168
194,2326
195,2326
196,1989
197,1671
198,1665
199,1801
200,1936
201,1993
202,1950
203,1886
204,1874
205,1928
206,1965
207,1965
208,1953
209,1935
210,1912
211,1862
212,1826
213,1843
214,1818
215,1780
216,1861
217,1995
218,1992
219,1926
220,1929
221,1912
222,1901
223,1979
224,2064
225,2055
226,2054
227,2034
228,1964
229,1886
230,1750
231,1707
232,1885
233,2150
234,2335
235,2553
236,2858
237,2960
238,2670
239,2227
240,2050
241,2027
242,1725
243,1483
244,1659
245,1855
246,1777
247,1751
248,1990
249,2203
250,2309
251,2501
252,2585
253,2299
254,2070
255,2097
256,1885
257,1363
258,1189
259,1531
260,1905
261,2031
262,2065
263,2187
264,2200
265,2029
266,2060
267,2264
268,2292
269,2215
270,2065
271,1899
272,1858
273,1979
274,2090
275,1925
276,1671
277,1698
278,1872
279,2018
280,2175
281,2261
282,2191
283,2056
284,1998
285,2041
286,2152
287,2268
288,2369
289,2320
290,2110
291,1923
292,1928
293,2075
294,2191
295,2303
296,2410
297,2316
298,2107
299,2007
300,2019
301,2024
302,2079
303,2129
304,1964
305,1728
306,1628
307,1608
308,1709
309,1905
310,2068
311,2050
312,1906
313,1802
314,1742
315,1734
316,1812
317,1869
318,1855
319,1786
320,1818
321,1872
322,1938
323,2120
324,2309
325,2338
326,2190
327,2036
328,2034
329,2128
330,2203
331,2221
332,2224
333,2197
334,2116
335,2091
336,2158
337,2228
338,2253
