INDEX,VOLTS_LSB
0,1975
1,2077
2,2016
3,2093
4,2805
5,4019
6,2441
7,1233
8,373
9,356
10,2130
11,2858
12,3776
13,2904
14,1448
15,317
16,702
17,2180
18,2806
19,3915
20,2902
21,1507
22,465
23,763
24,2251
25,2412
26,2001
27,2143
28,2206
29,1500
30,2131
31,3080
32,1970
33,1744
34,2220
35,1792
36,1726
37,2008
38,1990
39,2062
40,2069
41,1914
42,1928
43,1952
44,1882
45,1902
46,1941
47,1933
48,1932
49,1938
50,1964
51,1983
52,1967
53,2017
54,2089
55,2104
56,2140
57,2148
58,2079
59,2018
60,2013
61,2059
62,2153
63,2240
64,2283
65,2280
66,2235
67,2162
68,2152
69,2144
70,2129
71,2109
72,2098
73,2037
74,2017
75,2027
76,2026
77,2089
78,2140
79,2124
80,2101
81,2050
82,1965
83,1936
84,1905
85,1883
86,1921
87,1958
88,1952
89,1973
90,1970
91,1917
92,1889
93,1895
94,1887
95,1883
96,1919
97,1946
98,1931
99,1937
100,1985
101,1999
102,1987
103,1971
104,1939
105,1917
106,1915
107,1910
108,1924
109,1963
110,2009
111,2009
112,1966
113,1926
114,1903
115,1908
116,1930
117,1971
118,2021
119,2017
120,1975
121,1919
122,1775
123,1439
124,919
125,609
126,1078
127,2350
128,3531
129,3712
130,3200
131,2557
132,1781
133,1690
134,2412
135,3117
136,3206
137,2660
138,1646
139,842
140,1156
141,2360
142,3442
143,3463
144,2668
145,1832
146,1430
147,1604
148,2010
149,2319
150,2241
151,1660
152,947
153,715
154,1151
155,1909
156,2447
157,2357
158,1804
159,1509
160,1424
161,1693
162,2147
163,2343
164,2302
165,2195
166,2183
167,2286
168,2268
169,2138
170,2136
171,2182
172,2157
173,2255
174,2395
175,2395
176,2204
177,2079
178,2085
179,2102
180,2094
181,2272
182,2412
183,2108
184,1683
185,1709
186,1919
187,1961
188,2043
189,2201
190,2102
191,1824
192,1766
193,1911
194,2045
195,2232
196,2341
197,2066
198,1704
199,1607
200,1692
201,1796
202,1877
203,1917
204,1911
205,1880
206,1953
207,2016
208,1974
209,1996
210,2053
211,2014
212,1946
213,1908
214,1847
215,1711
216,1691
217,1776
218,1927
219,2027
220,1980
221,1896
222,1856
223,1819
224,1875
225,2009
226,2066
227,2092
228,2118
229,2072
230,1995
231,1891
232,1749
233,1679
234,1813
235,2052
236,2279
237,2488
238,2721
239,2901
240,2785
241,2356
242,2055
243,2057
244,1924
245,1605
246,1624
247,1898
248,1904
249,1736
250,1867
251,2171
252,2270
253,2378
254,2557
255,2408
256,2062
257,2010
258,1981
259,1595
260,1265
261,1458
262,1818
263,1919
264,1900
265,1957
266,2067
267,2098
268,2030
269,2106
270,2175
271,2055
272,1889
273,1798
274,1800
275,1939
276,2070
277,1942
278,1672
279,1625
280,1788
281,1996
282,2203
283,2264
284,2169
285,2004
286,1932
287,2075
288,2222
289,2291
290,2338
291,2279
292,2095
293,1958
294,1973
295,2090
296,2190
297,2255
298,2329
299,2336
300,2182
301,2048
302,2055
303,2062
304,2078
305,2173
306,2093
307,1894
308,1752
309,1706
310,1749
311,1857
312,1990
313,2044
314,1968
315,1891
316,1852
317,1811
318,1835
319,1925
320,1920
321,1859
322,1885
323,1953
324,1975
325,2091
326,2254
327,2314
328,2212
329,2073
330,2041
331,2109
332,2181
333,2208
334,2241
335,2182
336,2085
337,2016
338,2061
339,2109
340,2150
341,2162
342,2064
343,1902
344,1834
345,1932
346,2077
347,2140
348,2153
349,2129
350,1973
351,1890
352,1852
353,1811
354,1823
355,1839
356,1794
357,1799
358,1916
359,2111
360,2287
361,2326
362,2281
363,2184
364,2033
365,1966
366,2021
367,2071
368,2044
369,1986
370,1873
371,1706
372,1638
373,1888
374,2235
375,2258
376,2065
377,2003
378,1941
379,1738
380,1794
381,2149
382,2297
383,2238
384,2253
385,2177
386,1931
387,1861
388,2049
389,2098
390,2055
391,2212
392,2348
393,2247
394,2141
395,2180
396,2301
397,2358
398,2316
399,2219
400,2087
401,2005
402,1995
403,2062
404,2100
405,2079
406,2001
407,1951
408,1964
409,1998
410,2054
411,2120
412,2051
413,1902
414,1807
415,1787
416,1822
417,1925
418,2029
419,2080
420,2038
421,1978
422,1963
423,1977
424,2028
425,2120
426,2095
427,2025
428,1962
429,1891
430,1945
431,2156
432,2373
433,2426
434,2354
435,2262
436,2137
437,2118
438,2274
439,2402
440,2335
441,2141
442,1921
443,1795
444,1820
445,1971
446,2118
447,2143
448,2065
449,2020
450,2017
451,2008
452,2033
453,2087
454,2101
455,2001
456,1912
457,1914
458,1914
459,1956
460,2048
461,2154
462,2161
463,2109
464,2094
