INDEX,VOLTS_LSB
0,2022
1,2020
2,2053
3,2346
4,3028
5,3985
6,2854
7,1551
8,0
9,146
10,2268
11,2973
12,3891
13,3200
14,1719
15,0
16,259
17,2495
18,3065
19,3766
20,3263
21,1813
22,0
23,509
24,2307
25,2299
26,1942
27,2149
28,2165
29,1342
30,2067
31,3153
32,1859
33,1623
34,2157
35,1723
36,1776
37,2104
38,2066
39,2135
40,2061
41,1875
42,1919
43,1939
44,1918
45,1959
46,1937
47,1904
48,1887
49,1892
50,1920
51,1932
52,1954
53,1980
54,2004
55,2065
56,2103
57,2094
58,2075
59,2017
60,1999
61,2070
62,2139
63,2185
64,2215
65,2211
66,2141
67,2101
68,2093
69,2079
70,2060
71,2037
72,2015
73,1989
74,1983
75,2007
76,2057
77,2084
78,2080
79,2077
80,2026
81,1972
82,1928
83,1909
84,1914
85,1910
86,1910
87,1912
88,1896
89,1904
90,1923
91,1936
92,1935
93,1922
94,1893
95,1871
96,1880
97,1931
98,1987
99,2029
100,2041
101,2002
102,1959
103,1919
104,1901
105,1905
106,1919
107,1954
108,1982
109,1997
110,2011
111,2013
112,1986
113,1965
114,1952
115,1960
116,1989
117,1993
118,2000
119,1973
120,1890
121,1631
122,1100
123,578
124,726
125,1810
126,3203
127,3855
128,3532
129,2884
130,1956
131,1512
132,2184
133,3058
134,3382
135,3004
136,1958
137,852
138,877
139,2008
140,3284
141,3663
142,2893
143,1819
144,1226
145,1503
146,2171
147,2601
148,2504
149,1765
150,799
151,429
152,889
153,1734
154,2492
155,2564
156,1923
157,1312
158,1225
159,1550
160,2062
161,2448
162,2472
163,2218
164,2112
165,2236
166,2198
167,1986
168,2005
169,2189
170,2248
171,2264
172,2334
173,2347
174,2162
175,1994
176,2066
177,2150
178,2121
179,2351
180,2692
181,2339
182,1546
183,1468
184,1892
185,2026
186,2136
187,2443
188,2354
189,1814
190,1576
191,1827
192,2146
193,2520
194,2703
195,2241
196,1544
197,1304
198,1563
199,1921
200,2141
201,2172
202,2014
203,1850
204,1812
205,1882
206,1982
207,2071
208,2126
209,2092
210,1918
211,1760
212,1821
213,1845
214,1725
215,1852
216,2163
217,2109
218,1848
219,1813
220,1827
221,1781
222,1990
223,2280
224,2279
225,2152
226,2079
227,1960
228,1875
229,1899
230,1863
231,1859
232,2071
233,2193
234,2232
235,2620
236,3064
237,2931
238,2435
239,2202
240,2116
241,1756
242,1516
243,1770
244,1983
245,1791
246,1646
247,1827
248,2020
249,2177
250,2547
251,2759
252,2429
253,2037
254,1967
255,1833
256,1521
257,1489
258,1767
259,1860
260,1726
261,1681
262,1844
263,2053
264,2174
265,2247
266,2281
267,2173
268,1980
269,1841
270,1735
271,1757
272,1951
273,2019
274,1819
275,1627
276,1693
277,1826
278,2010
279,2233
280,2354
281,2283
282,2173
283,2097
284,2114
285,2275
286,2437
287,2430
288,2259
289,2013
290,1897
291,2057
292,2345
293,2510
294,2514
295,2437
296,2239
297,2012
298,2009
299,2120
300,2205
301,2241
302,2128
303,1792
304,1559
305,1621
306,1698
307,1735
308,1911
309,2038
310,1920
311,1770
312,1778
313,1800
314,1792
315,1857
316,1914
317,1864
318,1867
319,1978
320,1991
321,1884
322,1943
323,2133
324,2226
325,2211
326,2239
327,2309
328,2257
329,2126
330,2056
331,2082
332,2165
333,2266
334,2305
335,2237
336,2134
337,2039
338,1969
339,1942
340,2055
341,2201
342,2258
343,2193
344,2064
345,1957
346,1913
347,1876
348,1801
349,1771
350,1840
351,1917
352,1927
353,1918
354,1976
355,2059
356,2115
357,2111
358,2117
359,2134
360,2075
361,2046
362,2105
363,2086
364,1949
365,1806
366,1659
367,1626
368,1884
369,2178
370,2253
371,2235
372,2232
373,2072
374,1906
375,1997
376,2173
377,2265
378,2384
379,2406
380,2090
381,1771
382,1758
383,1834
384,1870
385,2105
386,2418
387,2442
388,2251
389,2145
390,2148
391,2131
392,2109
393,2052
394,2028
395,2077
396,2040
397,2043
398,2017
399,2033
400,1907
401,1929
402,2124
403,2025
404,2054
405,2104
406,1931
407,1866
408,1882
409,1860
410,1851
411,1846
412,1903
413,2007
414,2049
415,2037
416,2033
417,1962
418,1841
419,1831
420,1900
421,1976
422,2099
423,2187
424,2140
425,2067
426,2100
427,2173
428,2210
429,2293
430,2369
431,2333
432,2206
433,2051
434,1905
435,1835
436,1885
437,2002
438,2109
439,2141
440,2145
441,2093
442,2051
443,2136
444,2281
445,2336
446,2231
447,2040
448,1793
449,1644
450,1763
451,2007
452,2185
453,2240
454,2182
455,2052
456,1960
457,1975
458,2037
459,2107
460,2144
461,2153
462,2118
463,2016
464,1897
465,1843
466,1911
467,2048
468,2188
469,2267
470,2225
471,2125
472,1948
473,1846
474,1905
475,2051
476,2239
477,2336
478,2287
479,2161
480,2062
481,2043
482,2071
483,2106
484,2118
485,2094
486,2075
487,2006
488,1876
489,1762
490,1681
491,1709
492,1837
493,1965
494,2088
495,2152
496,2097
497,1999
498,1921
499,1918
500,1973
501,2018
502,2000
503,1980
504,1987
505,2002
506,1985
507,1976
508,1983
509,2075
510,2249
511,2333
512,2308
513,2224
514,2087
515,2006
516,2030
517,2098
518,2145
519,2154
520,2132
521,2087
522,2023
523,1987
524,2009
525,2012
526,1976
527,2003
528,2073
529,2085
530,2091
531,2133
532,2156
533,2124
534,2058
535,1998
536,1918
537,1832
538,1817
539,1916
540,2021
541,2004
542,1912
543,1880
544,1912
545,1998
546,2174
547,2371
548,2377
549,2198
550,1991
551,1875
552,1882
553,1996
554,2152
555,2179
556,2058
557,1954
558,1989
559,2117
560,2252
561,2327
562,2329
563,2215
564,2059
565,1988
566,1999
567,2034
568,2031
569,1989
570,1928
571,1911
572,1928
573,1991
574,2068
575,2110
576,2127
577,2098
578,2057
579,2000
580,1948
581,1928
582,1939
583,2001
584,2029
585,2029
586,2043
587,2042
588,2041
589,2069
590,2083
591,2061
592,2008
593,1951
594,1908
595,1894
596,1874
597,1853
598,1842
599,1861
600,1916
601,2002
602,2085
603,2124
604,2137
605,2153
606,2147
607,2118
608,2077
609,2020
610,2007
611,2033
612,2114
613,2226
614,2307
615,2319
616,2301
617,2272
618,2262
619,2306
620,2330
621,2307
622,2225
623,2113
624,2006
625,1925
626,1931
627,1957
628,2021
629,2078
630,2051
631,1976
632,1898
633,1865
634,1892
635,1941
636,1964
637,1971
638,1958
639,1925
640,1901
641,1891
642,1885
643,1870
644,1874
645,1917
646,2013
647,2105
648,2133
649,2104
650,2022
651,1996
652,2072
653,2177
654,2225
655,2172
656,2074
657,1975
658,1932
659,1968
660,2081
661,2179
662,2212
663,2208
664,2184
665,2154
666,2128
667,2129
668,2112
669,2111
670,2099
671,2025
672,1939
673,1896
674,1901
675,1968
676,2062
677,2134
678,2145
679,2072
680,1982
681,1920
682,1919
683,1971
684,1993
685,1981
686,1905
687,1843
688,1860
689,1926
690,2019
691,2108
692,2161
693,2146
694,2113
695,2065
696,2021
697,2020
698,2013
699,1992
700,1980
701,1986
702,2000
703,2025
704,2070
705,2085
706,2088
707,2084
708,2071
709,2084
710,2096
711,2104
712,2094
713,2065
714,2001
715,1966
716,1970
717,1999
718,2038
719,2066
720,2081
721,2076
722,2090
723,2130
724,2163
725,2168
726,2138
727,2061
728,2000
729,1987
730,2005
731,2006
732,1991
733,1989
734,1967
735,1972
736,2021
737,2037
738,2034
739,2014
740,1996
741,1976
742,1985
743,2009
744,2007
745,1987
746,1949
747,1943
748,1977
749,2014
750,2036
751,2030
752,2029
753,2036
754,2029
755,2033
756,2059
757,2085
758,2099
759,2089
760,2068
761,2046
762,2031
763,2032
764,2040
765,2078
766,2121
767,2125
768,2107
769,2091
770,2101
771,2116
772,2127
773,2099
774,2052
775,2029
776,2027
777,2018
778,2029
779,2041
780,2020
781,2010
782,2005
783,2022
784,2045
785,2047
786,2028
787,1972
788,1946
789,1926
790,1912
791,1908
792,1901
793,1919
794,1927
795,1951
796,1980
797,2004
798,2040
799,2061
800,2068
801,2076
802,2080
803,2081
804,2074
805,2056
806,2033
807,2038
808,2076
809,2119
810,2165
811,2190
812,2185
813,2147
814,2090
815,2073
816,2083
817,2115
818,2142
819,2103
820,2035
821,1980
822,1955
823,1968
824,1991
825,2016
826,2007
827,1979
828,1961
829,1968
830,1993
831,2030
832,2073
833,2089
834,2070
835,2040
836,2043
837,2061
838,2077
839,2112
840,2136
841,2130
842,2117
843,2123
844,2129
845,2128
846,2137
847,2128
848,2096
849,2033
850,1995
851,1986
852,1988
853,2002
854,2017
855,1998
856,1974
857,1969
858,1974
859,1970
860,1962
861,1961
862,1952
863,1951
864,1965
865,1989
866,2013
867,2021
868,2032
869,2028
870,2021
871,2054
872,2086
873,2102
874,2104
875,2082
876,2055
877,2043
878,2050
879,2077
880,2090
881,2085
882,2071
883,2050
884,2055
885,2070
886,2077
887,2098
888,2089
889,2060
890,2048
891,2034
892,2029
893,2057
894,2061
895,2064
896,2071
897,2047
898,2035
899,2032
900,2038
901,2065
902,2082
903,2077
904,2066
905,2049
906,2059
907,2092
908,2116
909,2098
910,2070
911,2033
912,2005
913,2009
914,2004
915,2011
916,2018
917,2008
918,2009
919,2022
920,2051
921,2063
922,2039
923,2007
924,1989
925,2013
926,2013
927,2032
928,2057
929,2049
930,2060
931,2056
932,2042
933,2071
934,2101
935,2102
936,2117
937,2091
938,2067
939,2078
940,2067
941,2080
942,2109
943,2112
944,2093
945,2065
946,2045
947,2035
948,2055
949,2067
950,2041
951,1986
952,1946
953,1957
954,1982
955,1997
956,2018
957,2014
958,1981
959,1948
960,1948
961,1958
962,1989
963,2020
964,2021
965,2006
966,1990
967,1973
968,1956
969,1963
970,2007
971,2053
972,2050
973,2043
974,2052
975,2038
976,2049
977,2085
978,2114
979,2095
980,2080
981,2067
982,2067
983,2089
984,2108
985,2096
986,2074
987,2086
988,2115
989,2151
990,2173
991,2187
992,2147
993,2097
994,2062
995,2036
996,2051
997,2078
998,2098
999,2106
1000,2093
1001,2061
1002,2044
1003,2028
1004,2037
1005,2069
1006,2088
1007,2063
1008,2017
1009,1961
1010,1925
1011,1942
1012,1997
1013,2047
1014,2066
1015,2038
1016,2019
1017,2020
1018,2035
1019,2063
1020,2070
1021,2025
1022,1985
1023,1974
1024,2088
1025,2032
1026,2062
1027,2149
1028,1983
1029,2035
1030,2105
1031,2069
1032,2131
1033,2135
1034,2070
1035,2058
1036,2031
1037,2042
1038,2083
1039,2074
1040,2059
1041,2049
1042,2025
1043,2020
1044,2048
1045,2063
1046,2079
1047,2094
1048,2088
1049,2091
1050,2082
1051,2059
1052,2053
1053,2044
1054,2026
1055,2031
1056,2031
1057,1991
1058,1987
1059,2010
1060,1999
1061,2003
1062,2009
1063,2015
1064,2027
1065,2024
1066,2023
1067,2014
1068,1992
1069,1965
1070,1962
1071,1982
1072,2007
1073,2021
1074,2013
1075,1989
1076,1970
1077,1980
1078,1993
1079,2013
1080,2040
1081,2035
1082,2025
1083,2031
1084,2029
1085,2070
1086,2103
1087,2104
1088,2093
1089,2065
1090,2041
1091,2035
1092,2062
1093,2079
1094,2095
1095,2092
1096,2049
1097,2030
1098,2040
1099,2068
1100,2098
1101,2124
1102,2106
1103,2052
1104,2015
1105,2009
1106,2016
1107,2043
1108,2068
1109,2048
1110,1985
1111,1960
1112,1954
1113,1966
1114,1990
1115,2014
1116,2009
1117,2002
1118,1984
1119,1995
1120,2012
1121,2041
1122,2049
1123,2039
1124,2030
1125,2010
1126,2015
1127,2011
1128,2006
1129,2025
1130,2020
1131,2019
1132,2024
1133,2041
1134,2059
1135,2076
1136,2100
1137,2118
1138,2114
1139,2096
1140,2088
1141,2075
1142,2064
1143,2063
1144,2054
1145,2050
1146,2051
1147,2061
1148,2096
1149,2082
1150,2069
1151,2079
1152,2061
1153,2063
1154,2057
1155,2051
1156,2043
1157,2007
1158,1969
1159,1964
1160,1980
1161,1995
1162,2008
1163,1993
1164,1980
1165,1981
1166,1986
1167,1997
1168,2019
1169,2025
1170,2011
1171,1992
1172,1995
1173,2011
1174,2027
1175,2030
1176,2041
1177,2027
1178,2006
1179,2017
1180,2020
1181,2047
1182,2067
1183,2074
1184,2051
1185,2011
1186,2012
1187,2023
1188,2050
1189,2091
1190,2104
1191,2080
1192,2069
1193,2074
1194,2064
1195,2078
1196,2103
1197,2104
1198,2082
1199,2046
1200,2044
1201,2073
1202,2111
1203,2122
1204,2134
1205,2113
1206,2066
1207,2066
1208,2088
1209,2079
1210,2074
1211,2051
1212,2015
1213,1979
1214,1967
1215,2001
1216,2046
1217,2057
1218,2058
1219,2026
1220,1985
1221,1965
1222,1984
1223,2022
1224,2031
1225,2041
1226,2027
1227,1972
1228,1959
1229,1984
1230,2008
1231,2050
1232,2087
1233,2063
1234,2036
1235,2042
1236,2032
1237,2059
1238,2093
1239,2092
1240,2068
1241,2054
1242,2055
1243,2070
1244,2076
1245,2079
1246,2060
1247,2016
1248,2005
1249,2019
1250,2039
1251,2057
1252,2069
1253,2073
1254,2045
1255,2039
1256,2047
1257,2050
1258,2060
1259,2054
1260,2032
1261,2005
1262,1991
1263,1994
1264,2012
1265,2025
1266,2044
1267,2049
1268,2041
1269,2035
1270,2026
1271,2027
1272,2035
1273,2049
1274,2047
1275,2031
1276,2019
1277,2020
1278,2025
1279,2039
1280,2050
1281,2038
1282,2053
1283,2062
1284,2061
1285,2073
1286,2061
1287,2048
1288,2049
1289,2065
1290,2068
1291,2093
1292,2105
1293,2091
1294,2060
1295,2050
1296,2053
1297,2064
1298,2073
1299,2080
1300,2072
1301,2047
1302,2043
1303,2047
1304,2044
1305,2068
1306,2081
1307,2069
1308,2057
1309,2034
1310,2034
1311,2045
1312,2050
1313,2059
1314,2044
1315,2020
1316,1979
1317,1982
1318,2005
1319,2023
1320,2057
1321,2065
1322,2029
1323,2010
1324,2001
1325,2012
1326,2034
1327,2036
1328,2024
1329,2006
1330,1972
1331,1969
1332,2011
1333,2029
1334,2055
1335,2063
1336,2036
1337,2022
1338,2026
1339,2031
1340,2036
1341,2041
1342,2027
1343,2005
1344,1990
1345,1987
1346,2013
1347,2055
1348,2074
1349,2067
1350,2042
1351,2025
1352,2034
1353,2055
1354,2071
1355,2088
1356,2077
1357,2044
1358,2037
1359,2037
1360,2066
1361,2099
1362,2097
1363,2078
1364,2055
1365,2038
1366,2036
1367,2047
1368,2047
1369,2034
1370,2026
1371,2006
1372,2010
1373,2031
1374,2046
1375,2046
1376,2037
1377,2017
1378,1995
1379,1994
1380,2003
1381,2016
1382,2016
1383,2004
1384,2009
1385,2012
1386,2033
1387,2055
1388,2077
1389,2090
1390,2070
1391,2047
1392,2017
1393,2001
1394,2013
1395,2028
1396,2034
1397,2033
1398,2014
1399,2008
1400,2011
1401,2038
1402,2062
1403,2067
1404,2046
1405,2008
1406,1983
1407,1979
1408,1992
1409,2016
1410,2024
1411,2016
1412,1993
1413,1996
1414,2017
1415,2025
1416,2042
1417,2060
1418,2052
1419,2049
1420,2054
1421,2058
1422,2068
1423,2058
