INDEX,VOLTS_LSB
0,1976
1,2010
2,2065
3,2165
4,2781
5,4079
6,2319
7,1114
8,345
9,384
10,2082
11,2864
12,3900
13,2780
14,1324
15,339
16,588
17,2149
18,2815
19,3964
20,2864
21,1371
22,413
23,886
24,2219
25,2347
26,2068
27,2074
28,2207
29,1593
30,2161
31,3101
32,1931
33,1676
34,2192
35,1723
36,1691
37,2034
38,2037
39,2117
40,2148
41,1977
42,1973
43,1949
44,1890
45,1954
46,1990
47,1960
48,1968
49,1966
50,1946
51,1962
52,1982
53,1995
54,2042
55,2134
56,2200
57,2200
58,2126
59,2058
60,2054
61,2108
62,2184
63,2263
64,2285
65,2253
66,2184
67,2136
68,2118
69,2104
70,2078
71,2024
72,1983
73,1982
74,1993
75,2010
76,2077
77,2081
78,2079
79,2081
80,2018
81,1949
82,1924
83,1895
84,1882
85,1917
86,1918
87,1896
88,1891
89,1910
90,1912
91,1889
92,1885
93,1907
94,1923
95,1906
96,1922
97,1950
98,1953
99,1979
100,2027
101,2031
102,1980
103,1934
104,1921
105,1907
106,1882
107,1925
108,1997
109,2040
110,2066
111,2053
112,2014
113,1964
114,1949
115,1988
116,2014
117,2023
118,2050
119,2009
120,1928
121,1806
122,1434
123,859
124,561
125,1127
126,2447
127,3607
128,3760
129,3256
130,2551
131,1698
132,1710
133,2544
134,3199
135,3233
136,2597
137,1481
138,811
139,1335
140,2590
141,3549
142,3387
143,2490
144,1614
145,1297
146,1697
147,2254
148,2498
149,2239
150,1438
151,666
152,584
153,1149
154,1970
155,2503
156,2301
157,1656
158,1260
159,1322
160,1656
161,2116
162,2373
163,2312
164,2151
165,2160
166,2236
167,2131
168,1959
169,1977
170,2079
171,2141
172,2269
173,2372
174,2338
175,2135
176,2012
177,2084
178,2133
179,2184
180,2423
181,2489
182,2096
183,1712
184,1777
185,2010
186,2054
187,2150
188,2369
189,2170
190,1858
191,1873
192,1997
193,2145
194,2408
195,2433
196,2065
197,1695
198,1562
199,1636
200,1835
201,2047
202,2098
203,2035
204,1998
205,1959
206,1943
207,1967
208,1996
209,2003
210,1990
211,1938
212,1864
213,1862
214,1840
215,1797
216,1900
217,2022
218,1992
219,1905
220,1868
221,1836
222,1850
223,1994
224,2154
225,2162
226,2108
227,2060
228,1980
229,1909
230,1833
231,1777
232,1871
233,2058
234,2193
235,2300
236,2576
237,2943
238,2919
239,2532
240,2267
241,2164
242,1805
243,1442
244,1580
245,1941
246,1924
247,1738
248,1857
249,2041
250,2095
251,2362
252,2681
253,2517
254,2113
255,2029
256,1903
257,1488
258,1342
259,1634
260,1891
261,1856
262,1829
263,1977
264,2114
265,2158
266,2174
267,2204
268,2184
269,2103
270,2042
271,1946
272,1911
273,2043
274,2071
275,1834
276,1703
277,1800
278,1929
279,2096
280,2269
281,2296
282,2169
283,2087
284,2136
285,2253
286,2368
287,2463
288,2471
289,2308
290,2085
291,2005
292,2127
293,2329
294,2449
295,2490
296,2428
297,2249
298,2068
299,2077
300,2151
301,2175
302,2196
303,2142
304,1940
305,1716
306,1667
307,1723
308,1725
309,1816
310,1960
311,1951
312,1903
313,1880
314,1828
315,1831
316,1876
317,1882
318,1860
319,1876
320,1972
321,2042
322,2031
323,2032
324,2079
325,2123
326,2155
327,2183
328,2250
329,2310
330,2296
331,2200
332,2105
333,2103
334,2156
335,2214
336,2238
337,2231
338,2179
339,2096
340,2030
341,2004
342,2041
343,2121
344,2257
345,2311
346,2231
347,2115
348,1992
349,1860
350,1804
351,1824
352,1936
353,2004
354,1994
355,2023
356,2103
357,2147
358,2185
359,2197
360,2162
361,2126
362,2086
363,2069
364,2073
365,2002
366,1882
367,1764
368,1667
369,1729
370,2018
371,2168
372,2083
373,2043
374,2105
375,1995
376,1894
377,2012
378,2140
379,2164
380,2265
381,2292
382,2036
383,1804
384,1811
385,1869
386,1876
387,2099
388,2418
389,2417
390,2232
391,2150
392,2168
393,2207
394,2202
395,2169
396,2093
397,1995
398,1961
399,1993
400,2036
401,2059
402,2022
403,2003
404,1996
405,1999
406,2038
407,2019
408,1937
409,1859
410,1833
411,1857
412,1862
413,1851
414,1913
415,1968
416,1924
417,1872
418,1968
419,2028
420,1941
421,1903
422,1850
423,1768
424,1817
425,1978
426,2124
427,2197
428,2170
429,2131
430,2088
431,2085
432,2202
433,2362
434,2352
435,2171
436,1929
437,1725
438,1665
439,1828
440,2062
441,2159
442,2140
