INDEX,VOLTS_LSB
0,2070
1,2010
2,1959
3,2283
4,2822
5,3953
6,2531
7,1203
8,258
9,467
10,2081
11,2827
12,3787
13,2810
14,1510
15,434
16,552
17,2191
18,2909
19,3868
20,2892
21,1501
22,390
23,664
24,2367
25,2398
26,1863
27,2229
28,2194
29,1326
30,2226
31,3162
32,1913
33,1758
34,2206
35,1766
36,1806
37,2071
38,2076
39,2202
40,2126
41,1941
42,1953
43,1963
44,1918
45,1970
46,1965
47,1892
48,1888
49,1894
50,1913
51,1956
52,1983
53,2013
54,2050
55,2079
56,2086
57,2090
58,2073
59,2041
60,2048
61,2085
62,2165
63,2230
64,2228
65,2210
66,2204
67,2195
68,2171
69,2164
70,2106
71,2050
72,2032
73,2021
74,2022
75,2035
76,2050
77,2088
78,2108
79,2095
80,2075
81,2036
82,1976
83,1922
84,1905
85,1894
86,1893
87,1914
88,1936
89,1908
90,1880
91,1884
92,1854
93,1879
94,1882
95,1905
96,1918
97,1922
98,1949
99,1951
100,1963
101,1971
102,1956
103,1953
104,1938
105,1891
106,1889
107,1917
108,1957
109,2014
110,2020
111,1986
112,1946
113,1927
114,1918
115,1954
116,2010
117,2028
118,2023
119,2000
120,1913
121,1705
122,1266
123,694
124,678
125,1567
126,2909
127,3757
128,3572
129,2996
130,2220
131,1600
132,1952
133,2770
134,3215
135,3017
136,2228
137,1184
138,866
139,1693
140,2982
141,3574
142,3060
143,2200
144,1541
145,1487
146,1883
147,2285
148,2376
149,1967
150,1184
151,660
152,824
153,1492
154,2189
155,2415
156,2013
157,1498
158,1356
159,1527
160,1904
161,2260
162,2333
163,2211
164,2113
165,2198
166,2259
167,2132
168,2034
169,2065
170,2090
171,2135
172,2248
173,2325
174,2244
175,2098
176,2072
177,2080
178,2049
179,2184
180,2393
181,2308
182,1867
183,1646
184,1842
185,1964
186,1993
187,2161
188,2209
189,1997
190,1858
191,1931
192,2020
193,2144
194,2320
195,2231
196,1901
197,1694
198,1718
199,1813
200,1917
201,1935
202,1964
203,1960
204,2018
205,2048
206,2025
207,2022
208,1986
209,1942
210,1939
211,1888
212,1868
213,1920
214,1905
215,1900
216,2007
217,2046
218,1980
219,1921
220,1918
221,1945
222,2004
223,2095
224,2160
225,2125
226,2065
227,2018
228,1926
229,1798
230,1728
231,1826
232,2031
233,2260
234,2419
235,2615
236,2891
237,2871
238,2470
239,2188
240,2205
241,1988
242,1571
243,1558
244,1853
245,1897
246,1755
247,1853
248,2110
249,2194
250,2337
251,2626
252,2584
253,2219
254,2090
255,2045
256,1613
257,1265
258,1499
259,1889
260,2031
261,1972
262,1957
263,2088
264,2145
265,2125
266,2216
267,2296
268,2127
269,1895
270,1792
271,1766
272,1941
273,2150
274,1999
275,1715
276,1609
277,1706
278,1927
279,2141
280,2288
281,2253
282,2053
283,1955
284,2042
285,2234
286,2392
287,2494
288,2400
289,2175
290,1985
291,1976
292,2132
293,2338
294,2461
295,2521
296,2418
297,2170
298,2033
299,2113
300,2180
301,2239
302,2285
303,2157
304,1885
305,1722
306,1719
307,1774
308,1914
309,2046
310,2030
311,1903
312,1844
313,1815
314,1820
315,1877
316,1881
317,1865
318,2011
319,1833
320,1977
321,2222
322,1990
323,2291
324,2350
325,2046
326,2073
327,2117
328,2125
329,2225
330,2246
331,2228
332,2186
333,2127
334,2125
335,2150
336,2211
337,2256
338,2195
339,2036
340,1931
341,1973
342,2063
343,2116
344,2124
345,2110
346,2050
347,1930
348,1844
349,1817
350,1803
351,1821
352,1846
353,1864
354,1960
355,2118
356,2209
357,2208
358,2184
359,2131
360,2068
361,2071
362,2115
363,2127
364,2050
365,1938
366,1811
367,1640
368,1659
369,2025
370,2327
371,2229
372,2094
373,2091
374,1955
375,1785
376,1938
377,2214
378,2235
379,2217
380,2251
381,2090
382,1809
383,1858
384,1981
385,1923
386,2004
387,2251
388,2328
389,2247
390,2187
391,2233
392,2284
393,2227
394,2178
395,2104
396,1994
397,1970
398,1981
399,1988
400,1983
401,1950
402,1954
403,2002
404,2064
405,2113
406,2097
407,1974
