INDEX,VOLTS_LSB
0,1908
1,2116
2,2022
3,2135
4,2475
5,3840
6,3503
7,2267
8,656
9,0
10,1410
11,2579
12,3562
13,3716
14,2477
15,803
16,0
17,1506
18,2605
19,3671
20,3596
21,2638
22,937
23,0
24,1449
25,2626
26,2059
27,1979
28,2236
29,1863
30,1274
31,2938
32,2627
33,1459
34,2099
35,2033
36,1602
37,1972
38,2062
39,2061
40,2170
41,2008
42,1923
43,1975
44,1906
45,1898
46,1961
47,1931
48,1906
49,1912
50,1898
51,1906
52,1918
53,1946
54,2009
55,2078
56,2110
57,2106
58,2069
59,2009
60,1984
61,2038
62,2118
63,2184
64,2203
65,2174
66,2148
67,2135
68,2113
69,2115
70,2114
71,2053
72,1996
73,1980
74,1975
75,2018
76,2056
77,2109
78,2109
79,2076
80,2050
81,2000
82,1971
83,1967
84,1945
85,1919
86,1902
87,1903
88,1904
89,1919
90,1950
91,1964
92,1945
93,1932
94,1912
95,1887
96,1900
97,1944
98,1970
99,1998
100,2015
101,2007
102,1984
103,1964
104,1951
105,1946
106,1918
107,1908
108,1942
109,1976
110,2007
111,2047
112,2029
113,1990
114,1964
115,1949
116,1963
117,1995
118,2014
119,2010
120,1979
121,1874
122,1603
123,1064
124,571
125,795
126,1937
127,3277
128,3840
129,3474
130,2840
131,1951
132,1591
133,2268
134,3051
135,3267
136,2848
137,1808
138,819
139,978
140,2125
141,3348
142,3615
143,2806
144,1793
145,1258
146,1547
147,2182
148,2564
149,2425
150,1715
151,777
152,438
153,928
154,1759
155,2487
156,2536
157,1884
158,1247
159,1184
160,1541
161,2038
162,2460
163,2510
164,2207
165,2082
166,2195
167,2157
168,2013
169,2044
170,2192
171,2239
172,2223
173,2273
174,2314
175,2177
176,2003
177,2093
178,2175
179,2136
180,2324
181,2644
182,2370
183,1616
184,1460
185,1860
186,2006
187,2060
188,2342
189,2332
190,1827
191,1584
192,1811
193,2094
194,2412
195,2635
196,2298
197,1579
198,1276
199,1523
200,1847
201,2076
202,2151
203,2006
204,1862
205,1825
206,1885
207,1979
208,2021
209,2062
210,2098
211,1951
212,1777
213,1844
214,1875
215,1710
216,1780
217,2084
218,2138
219,1924
220,1876
221,1851
222,1752
223,1895
224,2205
225,2289
226,2210
227,2148
228,1993
229,1868
230,1895
231,1853
232,1841
233,2052
234,2201
235,2184
236,2443
237,2934
238,2998
239,2615
240,2281
241,2152
242,1887
243,1536
244,1595
245,1894
246,1921
247,1762
248,1821
249,2002
250,2114
251,2392
252,2718
253,2601
254,2151
255,1945
256,1902
257,1639
258,1470
259,1663
260,1878
261,1825
262,1696
263,1753
264,1967
265,2173
266,2316
