INDEX,VOLTS_LSB
0,2149
1,1996
2,2105
3,2193
4,2079
5,3836
6,3481
7,1578
8,799
9,85
10,1395
11,2469
12,3567
13,3548
14,1900
15,793
16,189
17,1709
18,2516
19,3453
20,3675
21,1914
22,801
23,417
24,1573
25,2483
26,2078
27,1912
28,2125
29,1861
30,1556
31,2976
32,2563
33,1563
34,2082
35,1993
36,1677
37,1988
38,2072
39,2084
40,2167
41,2008
42,1921
43,1990
44,1963
45,1941
46,1989
47,1982
48,1926
49,1930
50,1954
51,1982
52,2024
53,2054
54,2056
55,2080
56,2137
57,2148
58,2140
59,2121
60,2069
61,2092
62,2157
63,2220
64,2243
65,2262
66,2277
67,2233
68,2206
69,2188
70,2171
71,2110
72,2140
73,2075
74,2056
75,2081
76,2068
77,2117
78,2155
79,2130
80,2114
81,2089
82,2004
83,1969
84,1955
85,1938
86,1951
87,1947
88,1963
89,1932
90,1930
91,1920
92,1907
93,1895
94,1876
95,1886
96,1907
97,1898
98,1910
99,1944
100,1981
101,2001
102,2009
103,2013
104,1962
105,1901
106,1898
107,1929
108,1964
109,2006
110,2012
111,1989
112,1986
113,1941
114,1930
115,1939
116,1976
117,1997
118,1975
119,1990
120,1978
121,1889
122,1677
123,1222
124,673
125,690
126,1647
127,3019
128,3745
129,3514
130,2944
131,2115
132,1608
133,2064
134,2829
135,3241
136,2958
137,2109
138,1069
139,880
140,1850
141,3097
142,3611
143,3034
144,2077
145,1406
146,1496
147,2012
148,2378
149,2389
150,1884
151,1029
152,546
153,853
154,1568
155,2298
156,2543
157,2085
158,1474
159,1312
160,1552
161,1943
162,2334
163,2451
164,2273
165,2162
166,2236
167,2219
168,2073
169,1991
170,2043
171,2136
172,2187
173,2278
174,2361
175,2215
176,1981
177,1997
178,2118
179,2140
180,2241
181,2484
182,2362
183,1771
184,1473
185,1723
186,1878
187,1975
188,2125
189,2204
190,1932
191,1644
192,1767
193,1962
194,2166
195,2445
196,2323
197,1812
198,1451
199,1501
200,1739
201,1928
202,2049
203,2020
204,1912
205,1863
206,1868
207,1928
208,1982
209,2014
210,2050
211,1946
212,1826
213,1874
214,1920
215,1882
216,1883
217,2032
218,2123
219,2021
220,1961
221,1939
222,1886
223,1951
224,2089
225,2215
226,2232
227,2160
228,2079
229,2016
230,1966
231,1906
232,1869
233,1981
234,2192
235,2255
236,2396
237,2805
238,3076
239,2851
240,2407
241,2153
242,1955
243,1651
244,1560
245,1840
246,1990
247,1814
248,1708
249,1879
250,2027
251,2197
252,2596
253,2738
254,2333
255,1977
256,1936
257,1738
258,1454
259,1512
260,1781
261,1890
262,1787
263,1716
264,1846
265,2058
266,2206
267,2287
268,2222
269,2009
270,1829
271,1725
272,1742
273,1956
274,2169
275,2008
276,1698
277,1585
278,1597
279,1788
280,2169
281,2379
282,2276
283,2083
284,1977
285,2007
286,2146
287,2347
288,2469
289,2395
290,2194
291,2026
292,1991
293,2126
294,2364
295,2481
296,2481
297,2403
298,2242
299,2111
300,2103
301,2133
302,2154
303,2122
304,2037
305,1862
306,1674
307,1673
308,1752
309,1802
310,1859
311,1943
312,1914
313,1892
314,1911
315,1846
316,1795
317,1810
318,1805
319,1807
320,1872
321,1990
322,2044
323,2009
324,2020
325,2092
326,2124
327,2123
328,2194
329,2266
330,2250
331,2258
332,2246
333,2145
334,2128
335,2192
336,2209
337,2242
338,2225
339,2131
340,1979
341,1909
342,1960
343,1988
344,2096
345,2234
346,2222
347,2117
348,2000
349,1892
350,1822
351,1751
352,1725
353,1776
354,1802
355,1854
356,1971
357,2058
358,2093
359,2065
360,2016
361,1990
362,1991
363,2035
364,2114
365,2115
366,1966
367,1747
368,1634
369,1660
370,1849
371,2074
372,2131
373,2089
374,2069
375,1957
376,1906
377,1898
378,2016
379,2127
380,2165
381,2275
382,2194
383,1958
384,1884
385,1891
386,1838
387,1891
388,2146
389,2363
390,2319
391,2284
392,2328
393,2283
394,2197
395,2112
396,2052
397,2114
398,2158
399,2136
400,2126
401,2077
402,1973
403,1978
404,2075
405,2146
406,2168
407,2182
408,2109
409,1940
410,1797
411,1816
412,1906
413,1874
414,1941
415,2014
416,2009
417,1972
418,1951
419,2015
420,2090
421,2106
422,2036
423,1948
424,1857
425,1885
426,2056
427,2178
428,2198
429,2193
430,2190
431,2141
432,2117
433,2237
434,2413
435,2413
436,2246
437,2027
438,1811
439,1789
440,1925
441,2050
442,2152
443,2145
444,2056
445,1986
446,1977
447,2045
448,2133
449,2202
450,2149
451,1944
452,1758
453,1749
454,1886
455,2028
456,2147
457,2221
458,2130
459,2025
460,1966
461,1956
462,2021
463,2109
464,2184
465,2057
466,1953
467,1931
468,1959
469,2046
470,2130
471,2180
472,2208
473,2178
474,2101
475,2050
476,1993
477,1984
478,2031
479,2089
480,2207
481,2283
482,2247
483,2191
484,2160
485,2167
486,2153
487,2092
488,2087
489,2072
490,2045
491,1994
492,1943
493,1835
494,1729
495,1797
496,1917
497,2110
498,2410
499,2186
500,2035
501,2024
502,1796
503,1808
504,1988
505,1995
506,1934
507,1910
508,1958
509,2037
510,2039
511,1969
512,1986
513,2169
514,2311
515,2289
516,2180
517,2050
518,1998
519,2060
520,2053
521,2030
522,2071
523,2046
524,2023
525,2033
526,1984
527,1970
528,1987
529,1923
530,1854
531,1922
532,2015
533,2024
534,2053
535,2077
536,2076
537,2021
538,1823
539,1705
540,1726
541,1760
542,1851
543,1974
544,1973
545,1929
546,1886
547,1877
548,1997
549,2102
550,2183
551,2301
552,2361
553,2257
554,2079
555,1959
556,1914
557,1942
558,2073
559,2165
560,2149
561,2087
562,2029
563,2069
564,2071
565,2186
566,2280
567,2311
568,2255
569,2028
570,1928
571,1906
572,1897
573,2024
574,2026
575,1975
576,1964
577,1912
578,1967
579,2091
580,2111
581,2087
582,2048
583,1965
584,1920
585,1930
586,1964
587,1982
588,2021
589,2079
590,2126
591,2147
592,2105
593,2065
594,2014
595,1981
596,1979
597,1961
598,1915
599,1877
600,1813
601,1795
602,1835
603,1888
604,1968
605,2023
606,2057
607,2122
608,2094
609,2094
610,2112
611,2002
612,1902
613,2347
614,1985
615,1965
616,2380
617,1838
618,2137
619,2414
620,2145
621,2313
622,2404
623,2262
624,2293
625,2269
626,2139
627,2130
628,2109
629,2013
630,2007
631,2003
632,1951
633,1919
634,1927
635,1917
636,1895
637,1913
638,1926
639,1933
640,1938
641,1906
642,1885
643,1962
644,1956
645,1917
646,1889
647,1858
648,1835
649,1850
650,1901
651,2005
652,2079
653,2169
654,2143
655,2123
656,2112
657,2107
658,2153
659,2195
660,2169
661,2149
662,2108
663,2023
664,2006
665,2069
666,2180
667,2288
668,2326
669,2303
670,2222
671,2135
672,2105
673,2106
674,2126
675,2138
676,2106
677,2059
678,1984
679,1927
680,1947
681,2019
682,2126
683,2165
684,2134
685,2063
686,1984
687,1942
688,1929
689,1950
690,1993
691,1970
692,1929
693,1924
694,1951
695,2028
696,2108
697,2199
698,2249
699,2183
700,2115
701,2069
702,2010
703,1982
704,1979
705,2006
706,1992
707,1982
708,2022
709,2041
710,2086
711,2119
712,2139
713,2157
714,2155
715,2139
716,2098
717,2086
718,2041
719,2020
720,2042
721,2006
722,2014
723,2036
724,2041
725,2068
726,2076
727,2091
728,2130
729,2140
730,2152
731,2161
732,2136
733,2101
734,2100
735,2072
736,2063
737,2070
738,2073
739,2067
740,2033
741,2026
742,2019
743,2017
744,2030
745,2053
746,2047
747,2089
748,2084
749,2107
750,2103
751,2042
752,2044
753,2045
754,2072
755,2109
756,2079
757,2049
758,2053
759,2052
760,2069
761,2119
762,2144
763,2145
764,2120
765,2085
766,2090
767,2098
768,2099
769,2102
770,2090
771,2088
772,2080
773,2080
774,2090
775,2098
776,2101
777,2090
778,2073
779,2009
780,1967
781,1954
782,1939
783,1952
784,1965
785,1976
786,1985
787,1956
788,1955
789,1968
790,1940
791,1957
