INDEX,VOLTS_LSB
0,2031
1,2020
2,2002
3,2129
4,2182
5,3830
6,3505
7,1557
8,752
9,152
10,1412
11,2405
12,3618
13,3636
14,1902
15,704
16,82
17,1552
18,2516
19,3548
20,3701
21,2140
22,837
23,372
24,1709
25,2665
26,2361
27,2113
28,2153
29,1928
30,1502
31,2950
32,2713
33,1607
34,2130
35,2069
36,1693
37,2050
38,2139
39,2153
40,2259
41,2085
42,2010
43,2013
44,1971
45,1987
46,1992
47,2013
48,2019
49,2015
50,2020
51,1972
52,1994
53,1976
54,2027
55,2159
56,2185
57,2170
58,2127
59,2041
60,2030
61,2093
62,2159
63,2217
64,2234
65,2219
66,2212
67,2206
68,2170
69,2143
70,2137
71,2085
72,2038
73,2034
74,2021
75,2023
76,2060
77,2113
78,2147
79,2108
80,2053
81,2004
82,1969
83,1973
84,1962
85,1957
86,1930
87,1887
88,1911
89,1934
90,1951
91,1983
92,1934
93,1895
94,1899
95,1891
96,1904
97,1936
98,1941
99,1953
100,1975
101,1972
102,1973
103,1987
104,1945
105,1894
106,1880
107,1863
108,1901
109,1980
110,2002
111,2004
112,2009
113,1955
114,1913
115,1917
116,1941
117,1964
118,1984
119,1984
120,1971
121,1859
122,1546
123,965
124,562
125,938
126,2130
127,3421
128,3776
129,3368
130,2780
131,1918
132,1686
133,2389
134,3046
135,3152
136,2699
137,1760
138,918
139,1148
140,2324
141,3326
142,3380
143,2702
144,1837
145,1400
146,1636
147,2104
148,2364
149,2218
150,1611
151,858
152,579
153,1002
154,1785
155,2383
156,2334
157,1801
158,1384
159,1309
160,1587
161,2022
162,2297
163,2325
164,2168
165,2140
166,2235
167,2187
168,2087
169,2036
170,2042
171,2096
172,2191
173,2309
174,2353
175,2217
176,2047
177,2069
178,2101
179,2131
180,2292
181,2454
182,2247
183,1771
184,1682
185,1915
186,1988
187,2052
188,2218
189,2175
190,1956
191,1854
192,1936
193,2079
194,2256
195,2366
196,2130
197,1763
198,1605
199,1650
200,1799
201,1945
202,1978
203,1931
204,1930
205,1970
206,1974
207,1985
208,1999
209,1979
210,1965
211,1919
212,1891
213,1898
214,1878
215,1861
216,1865
217,1975
218,2038
219,1948
220,1920
221,1923
222,1931
223,1976
224,2086
225,2153
226,2174
227,2135
228,2058
229,1996
230,1881
231,1744
232,1868
233,2122
234,2211
235,2310
236,2644
237,2998
238,2912
239,2456
240,2140
241,2060
242,1789
243,1490
244,1705
245,2009
246,1912
247,1764
248,1865
249,2015
250,2104
251,2410
252,2703
253,2505
254,2143
255,1990
256,1786
257,1403
258,1300
259,1688
260,2006
261,1980
262,1868
263,1871
264,1990
265,2137
266,2248
267,2343
268,2239
269,1960
270,1729
271,1668
272,1814
273,2059
274,2056
275,1786
276,1565
277,1507
278,1660
279,1994
280,2313
281,2355
282,2138
283,1949
284,1959
285,2092
286,2245
287,2378
288,2403
289,2245
290,2035
291,1909
292,1969
293,2179
294,2348
295,2436
296,2432
297,2315
298,2157
299,2105
300,2104
301,2099
302,2158
303,2204
304,2027
305,1778
306,1708
307,1713
308,1715
309,1817
310,1945
311,1931
312,1866
313,1840
314,1817
315,1831
316,1831
317,1937
318,1884
319,1818
320,1960
321,2070
322,2125
323,2190
324,2178
325,2070
326,2047
327,2080
328,2129
329,2217
330,2224
331,2216
332,2165
333,2041
334,2048
335,2134
336,2206
337,2252
338,2206
339,2076
340,1902
341,1862
342,1969
343,2032
344,2109
345,2189
346,2082
347,1930
348,1829
349,1748
350,1733
351,1709
352,1706
353,1740
354,1816
355,1975
356,2162
357,2254
358,2213
359,2108
360,2022
361,1991
362,2024
363,2152
364,2200
365,2044
366,1807
367,1633
368,1644
369,1883
370,2163
371,2294
372,2214
373,2119
374,2065
375,1978
376,2032
377,2207
378,2286
379,2284
380,2262
381,2217
382,2068
383,1979
384,2020
385,1985
386,1953
387,2135
388,2331
389,2327
390,2310
391,2376
392,2395
393,2317
394,2227
395,2127
396,2083
397,2053
398,2064
399,2064
400,2036
401,1978
402,1937
403,1965
404,2032
405,2077
406,2109
407,2090
408,1951
409,1793
410,1758
411,1797
412,1860
413,1919
414,1982
415,2012
416,1921
417,1850
418,1920
419,2003
420,2074
421,2089
422,1995
423,1868
424,1804
425,1879
426,2068
427,2266
428,2262
429,2282
430,2226
431,2121
432,2118
433,2277
434,2438
435,2409
436,2189
437,1914
438,1762
439,1807
440,1974
441,2141
442,2199
443,2123
444,2030
445,2004
446,2000
447,2108
448,2258
449,2237
450,2051
451,1901
452,1820
453,1818
454,1957
455,2087
456,2140
457,2109
458,2018
459,1981
460,1967
461,1961
462,2088
463,2207
464,2123
465,2034
466,2027
467,2012
468,2014
469,2097
470,2127
471,2089
472,2086
473,2073
474,2042
475,1974
476,1916
477,1945
478,1984
479,2058
480,2222
481,2308
482,2273
483,2233
484,2165
485,2081
486,2049
487,2083
488,2093
489,2077
490,2016
491,1868
492,1752
493,1735
494,1775
495,1914
496,2090
497,2174
498,2141
499,2025
500,1948
501,1916
502,1938
503,1969
504,1931
505,1923
506,1894
507,1875
508,1994
509,1972
510,1960
511,2125
512,2115
513,2170
514,2191
515,2054
516,2049
517,2088
518,2115
519,2167
520,2097
521,2052
522,2030
523,2020
524,2084
525,2104
526,2078
527,2032
528,1929
529,1837
530,1898
531,2006
532,2111
533,2195
534,2190
535,2128
536,2111
537,2098
538,2013
539,1962
540,1916
541,1885
542,1923
543,1951
544,2019
545,2052
546,1999
547,2035
548,2078
549,2036
550,2233
551,2669
552,2236
553,2245
554,2287
555,1606
556,1995
557,2123
558,1998
559,2291
560,2269
561,2063
562,2071
563,2061
564,2092
565,2274
566,2326
567,2261
568,2115
569,1914
570,1796
571,1887
572,1979
573,2060
574,2082
575,2028
576,1955
577,1943
578,2009
579,2083
580,2109
581,2087
582,2043
583,1964
584,1896
585,1871
586,1914
587,1992
588,2078
589,2161
590,2175
591,2142
592,2073
593,2007
594,2012
595,2007
596,1998
597,1995
598,1936
599,1838
600,1764
601,1766
602,1826
603,1919
604,1975
605,2015
606,2040
607,2019
608,2012
609,2007
610,1953
611,2004
612,2079
613,2042
614,2046
615,2057
616,2052
617,2063
