INDEX,VOLTS_LSB
0,2037
1,2038
2,2061
3,2333
4,3007
5,3931
6,2883
7,1655
8,0
9,148
10,2282
11,2953
12,3851
13,3167
14,1772
15,0
16,269
17,2385
18,3025
19,3830
20,3198
21,1869
22,0
23,514
24,2269
25,2238
26,2041
27,2146
28,2084
29,1415
30,2070
31,3119
32,1904
33,1642
34,2169
35,1735
36,1748
37,2098
38,2062
39,2134
40,2084
41,1890
42,1916
43,1922
44,1887
45,1938
46,1961
47,1922
48,1890
49,1887
50,1888
51,1911
52,1961
53,1995
54,2050
55,2079
56,2088
57,2069
58,2030
59,2014
60,2030
61,2096
62,2158
63,2177
64,2179
65,2175
66,2143
67,2112
68,2117
69,2097
70,2061
71,2020
72,1987
73,1977
74,1991
75,2025
76,2053
77,2056
78,2059
79,2051
80,2017
81,1995
82,1963
83,1925
84,1899
85,1874
86,1875
87,1904
88,1930
89,1953
90,1951
91,1917
92,1908
93,1886
94,1864
95,1889
96,1924
97,1951
98,1980
99,2001
100,2006
101,2013
102,1976
103,1948
104,1929
105,1901
106,1898
107,1929
108,1961
109,2007
110,2027
111,2009
112,1971
113,1932
114,1922
115,1948
116,1989
117,2007
118,2007
119,1969
120,1874
121,1629
122,1133
123,619
124,738
125,1766
126,3100
127,3807
128,3520
129,2857
130,1986
131,1528
132,2153
133,3021
134,3338
135,2989
136,1996
137,892
138,862
139,1954
140,3246
141,3666
142,2947
143,1863
144,1216
145,1477
146,2134
147,2577
148,2514
149,1802
150,860
151,445
152,845
153,1688
154,2465
155,2574
156,1967
157,1314
158,1197
159,1535
160,2037
161,2436
162,2487
163,2227
164,2091
165,2207
166,2200
167,2002
168,1998
169,2170
170,2238
171,2244
172,2305
173,2344
174,2190
175,1989
176,2062
177,2176
178,2134
179,2308
180,2647
181,2393
182,1623
183,1449
184,1861
185,2031
186,2096
187,2388
188,2374
189,1865
190,1592
191,1807
192,2113
193,2434
194,2674
195,2340
196,1610
197,1316
198,1541
199,1872
200,2108
201,2151
202,2007
203,1861
204,1823
205,1884
206,1986
207,2054
208,2090
209,2081
210,1939
211,1774
212,1839
213,1897
214,1733
215,1796
216,2112
217,2133
218,1924
219,1867
220,1844
221,1755
222,1920
223,2223
224,2281
225,2205
226,2150
227,1997
228,1871
229,1856
230,1815
231,1843
232,2091
233,2254
234,2246
235,2518
236,2985
237,2952
238,2479
239,2247
240,2200
241,1837
242,1516
243,1712
244,1961
245,1830
246,1699
247,1870
248,2060
249,2146
250,2448
251,2735
252,2485
253,2073
254,2005
255,1921
256,1575
257,1457
258,1692
259,1853
260,1769
261,1706
262,1860
263,2060
264,2160
265,2229
266,2292
267,2203
268,2016
269,1904
270,1779
271,1725
272,1914
273,2044
274,1843
275,1659
276,1702
277,1820
278,2002
279,2224
280,2337
281,2307
282,2216
283,2139
284,2129
285,2237
286,2399
287,2427
288,2271
289,2056
290,1940
291,2031
292,2282
293,2481
294,2501
295,2415
296,2254
297,2066
298,2020
299,2116
300,2179
301,2211
302,2143
303,1842
304,1577
305,1605
306,1695
307,1727
308,1871
309,2019
310,1941
311,1784
312,1768
313,1809
314,1786
315,1833
316,1911
317,1879
318,1857
319,1970
320,2021
321,1939
322,1949
323,2125
324,2221
325,2180
326,2204
327,2299
328,2262
329,2178
330,2103
331,2073
332,2135
333,2228
334,2302
335,2264
336,2163
337,2048
338,1931
339,1915
340,2002
341,2155
342,2245
343,2217
344,2096
345,1965
346,1919
347,1899
348,1834
349,1763
350,1791
351,1846
352,1869
353,1912
354,2004
355,2108
356,2132
357,2106
358,2098
359,2087
360,2061
361,2086
362,2155
363,2123
364,1960
365,1804
366,1666
367,1613
368,1830
369,2144
370,2249
371,2226
372,2237
373,2090
374,1898
375,1962
376,2131
377,2241
378,2349
379,2403
380,2189
381,1807
382,1726
383,1822
384,1871
385,2045
386,2350
387,2423
388,2266
389,2172
390,2199
391,2193
392,2108
393,2022
394,1998
395,2014
396,2042
397,2112
398,2106
399,1993
400,1884
401,1892
402,1990
403,2086
404,2117
405,2098
406,1997
407,1878
408,1849
409,1877
410,1848
411,1842
412,1933
413,2021
414,2019
415,1993
416,2004
417,1981
418,1903
419,1859
420,1916
421,1972
422,2017
423,2106
424,2141
425,2105
426,2125
427,2206
428,2207
429,2210
430,2278
431,2314
432,2278
433,2158
434,1986
435,1868
436,1856
437,1945
438,2079
439,2166
440,2159
441,2101
442,2061
443,2103
444,2208
445,2291
446,2269
447,2118
448,1897
449,1727
450,1747
451,1942
452,2139
453,2205
454,2164
455,2075
456,1992
457,1955
458,2009
459,2101
460,2161
461,2183
462,2128
463,2027
464,1918
465,1856
466,1907
467,2036
468,2185
469,2262
470,2247
471,2146
472,2000
473,1873
474,1857
475,1988
476,2169
477,2313
478,2350
479,2247
480,2102
481,2041
482,2068
483,2111
484,2131
485,2163
486,2145
487,2041
488,1926
489,1788
490,1670
491,1681
492,1809
493,1977
494,2100
495,2141
496,2122
497,2027
498,1860
499,1978
500,1998
501,1971
502,2089
503,1929
504,1923
505,2030
506,1953
507,1976
508,2018
509,2034
510,2170
511,2281
512,2292
513,2247
514,2174
515,2080
516,2044
517,2083
518,2113
519,2125
520,2143
521,2134
522,2065
523,1983
524,1979
525,1980
526,1943
527,1984
528,2082
529,2109
530,2111
531,2128
532,2124
533,2110
534,2095
535,2054
536,1954
537,1837
538,1772
539,1814
540,1956
541,2032
542,1984
543,1914
544,1895
545,1906
546,2016
547,2251
548,2388
549,2304
550,2114
551,1922
552,1832
553,1884
554,2047
555,2194
556,2150
557,2023
558,1967
559,2029
560,2142
561,2259
562,2334
563,2300
564,2163
565,2022
566,1967
567,1967
568,1982
569,2008
570,2002
571,1948
572,1919
573,1929
574,1977
575,2073
576,2135
577,2136
578,2089
579,2011
580,1918
581,1868
582,1906
583,1978
584,2028
585,2053
586,2049
587,2045
588,2030
589,2033
590,2059
591,2068
592,2048
593,2004
594,1932
595,1886
596,1861
597,1825
598,1828
599,1854
600,1895
601,1978
602,2048
603,2094
604,2101
605,2119
606,2139
607,2124
608,2091
609,2047
610,2014
611,2004
612,2040
613,2141
614,2254
615,2318
616,2324
617,2276
618,2243
619,2283
620,2318
621,2303
622,2264
623,2182
624,2061
625,1964
626,1923
627,1938
628,1993
629,2048
630,2059
631,2001
632,1914
633,1875
634,1887
635,1906
636,1931
637,1970
638,1982
639,1944
640,1901
641,1878
642,1850
643,1843
644,1847
645,1884
646,1961
647,2048
648,2104
649,2103
650,2051
651,2015
652,2062
653,2137
654,2181
655,2170
656,2088
657,2011
658,1971
659,1958
660,2019
661,2108
662,2168
663,2206
664,2217
665,2201
666,2170
667,2130
668,2109
669,2080
670,2099
671,2081
672,2017
673,1969
674,1904
675,1899
676,1969
677,2038
678,2105
679,2144
680,2055
681,1928
682,1917
683,1879
684,1925
685,1995
686,1967
687,1907
688,1870
689,1873
690,1912
691,2018
692,2125
693,2178
694,2179
695,2103
696,2017
697,1994
698,1990
699,2006
700,2009
701,2015
702,2012
703,2007
704,2023
705,2061
706,2089
707,2114
708,2126
709,2120
710,2099
711,2088
712,2082
713,2072
714,2040
715,1999
716,1994
717,1988
718,2004
719,2038
720,2073
721,2082
722,2078
723,2099
724,2122
725,2145
726,2160
727,2128
728,2069
729,2021
730,2015
731,2003
732,1995
733,2011
734,2009
735,1977
736,1988
737,2032
738,2040
739,2046
740,2026
741,1997
742,2005
743,2032
744,2042
745,2002
746,1962
747,1951
748,1965
749,2012
750,2053
751,2063
752,2050
753,2028
754,1999
755,2009
756,2055
757,2092
758,2116
759,2116
760,2079
761,2067
762,2038
763,2018
764,2043
765,2098
766,2124
767,2141
768,2123
769,2094
770,2092
771,2108
772,2126
773,2136
774,2110
775,2051
776,2025
777,2027
778,2044
779,2079
780,2084
781,2048
782,2021
783,2003
784,2004
785,2024
786,2042
787,2039
788,2025
789,1990
790,1942
791,1906
792,1878
793,1884
794,1925
795,1960
796,1999
797,2030
798,2019
799,2002
800,2020
801,2047
802,2093
803,2130
804,2109
805,2075
806,2043
807,2020
808,2035
809,2111
810,2169
811,2191
812,2172
813,2125
814,2098
815,2091
816,2104
817,2134
818,2145
819,2104
820,2034
821,1990
822,1969
823,1998
824,2009
825,2010
826,1989
827,1955
828,1941
829,1969
830,2009
831,2023
832,2040
833,2054
834,2038
835,2023
836,2044
837,2065
838,2075
839,2088
840,2074
841,2078
842,2094
843,2121
844,2157
845,2175
846,2161
847,2122
848,2082
849,2039
850,2037
851,2029
852,2027
853,2018
854,1985
855,1952
856,1945
857,1986
858,2012
859,2013
860,1996
861,1947
862,1912
863,1908
864,1930
865,1967
866,1987
867,2003
868,1998
869,1986
870,1997
871,2030
872,2063
873,2087
874,2080
875,2042
876,2008
877,2001
878,2019
879,2038
880,2072
881,2070
882,2031
883,2024
884,2041
885,2064
886,2096
887,2095
888,2080
889,2054
890,2007
891,2002
892,2026
893,2034
894,2048
895,2057
896,2045
897,2041
898,2036
899,2039
900,2029
901,2036
902,2069
903,2039
904,2027
905,2021
906,2005
907,2054
908,2085
909,2085
910,2083
911,2050
912,2002
913,1977
914,1993
915,2015
916,2026
917,2014
918,1995
919,1991
920,2010
921,2044
922,2050
923,2033
924,2031
925,2002
926,1985
927,2006
928,2024
929,2048
930,2058
931,2050
932,2067
933,2071
934,2080
935,2094
936,2080
937,2086
938,2101
939,2094
940,2077
941,2068
942,2080
943,2083
944,2066
945,2076
946,2067
947,2045
948,2049
949,2040
950,2023
951,2014
952,1993
953,1983
954,1974
955,1973
956,1987
957,1990
958,1971
959,1969
960,1969
961,1967
962,1957
963,1964
964,1984
965,1992
966,2006
967,2018
968,1982
969,1952
970,1959
971,1983
972,2022
973,2071
974,2091
975,2068
976,2056
977,2058
978,2056
979,2070
980,2074
981,2093
982,2091
983,2088
984,2073
985,2049
986,2056
987,2071
988,2105
989,2152
990,2171
991,2175
992,2154
993,2115
994,2084
995,2065
996,2058
997,2061
998,2057
999,2074
1000,2090
1001,2087
1002,2092
1003,2083
1004,2033
1005,2056
1006,2080
1007,2081
1008,2090
1009,2044
1010,1980
1011,1932
1012,1931
1013,1972
1014,2013
1015,2067
1016,2073
1017,2045
1018,2030
1019,2020
1020,2028
1021,2037
1022,2011
1023,2026
1024,2043
1025,2029
1026,2033
1027,2046
1028,2030
1029,2036
1030,2089
1031,2109
1032,2123
1033,2127
1034,2094
1035,2061
1036,2059
1037,2062
1038,2082
1039,2078
1040,2056
1041,2062
1042,2063
1043,2061
1044,2077
1045,2075
1046,2071
1047,2071
1048,2080
1049,2092
1050,2096
1051,2091
1052,2083
1053,2063
1054,2035
1055,2041
1056,2042
1057,2030
1058,2015
1059,2009
1060,2010
1061,2015
1062,2014
1063,2031
1064,2038
1065,2028
1066,2016
1067,2025
1068,2026
1069,2006
1070,1994
1071,1992
1072,2011
1073,2036
1074,2047
1075,2017
1076,2000
1077,2003
1078,2003
1079,2023
1080,2047
1081,2052
1082,2043
1083,2034
1084,2042
1085,2035
1086,2073
1087,2125
1088,2121
1089,2105
1090,2095
1091,2066
1092,2063
1093,2071
1094,2080
1095,2097
1096,2085
1097,2083
1098,2075
1099,2058
1100,2080
1101,2106
1102,2109
1103,2077
1104,2048
1105,2032
1106,2017
1107,2006
1108,2046
1109,2065
1110,2019
1111,2002
1112,1966
1113,1940
1114,1970
1115,1997
1116,2013
1117,2020
1118,2005
1119,1995
1120,1979
1121,1975
1122,1992
1123,1979
1124,2128
1125,2065
1126,2007
1127,2093
1128,1916
1129,1946
1130,2045
1131,1993
1132,2055
1133,2094
1134,2034
1135,2032
1136,2051
1137,2074
1138,2117
1139,2136
1140,2106
1141,2087
1142,2038
1143,2035
1144,2053
1145,2096
1146,2106
1147,2097
1148,2077
1149,2061
1150,2056
1151,2087
1152,2118
1153,2112
1154,2098
1155,2074
1156,2038
1157,2000
1158,1993
1159,2016
1160,2037
1161,2030
1162,2022
1163,1985
1164,1968
1165,1981
1166,2002
1167,2030
1168,2056
1169,2038
1170,1997
1171,1974
1172,1979
1173,2005
1174,2040
1175,2060
1176,2060
1177,2039
1178,2010
1179,1999
1180,2034
1181,2062
1182,2088
1183,2098
1184,2069
1185,2031
1186,2027
1187,2046
1188,2053
1189,2091
1190,2111
1191,2088
1192,2080
1193,2074
1194,2067
1195,2084
1196,2099
1197,2101
1198,2081
1199,2045
1200,2044
1201,2058
1202,2080
1203,2118
1204,2130
1205,2104
1206,2073
1207,2061
1208,2066
1209,2093
1210,2106
1211,2069
1212,2032
1213,1992
1214,1966
1215,1994
1216,2038
1217,2058
1218,2071
1219,2060
1220,2021
1221,1987
1222,1978
1223,2003
1224,2042
1225,2059
1226,2045
1227,2025
1228,1985
1229,1955
1230,1970
1231,2005
1232,2039
1233,2073
1234,2068
1235,2044
1236,2031
1237,2021
1238,2049
1239,2086
1240,2094
1241,2073
1242,2061
1243,2047
1244,2034
1245,2041
1246,2053
1247,2044
1248,2020
1249,2012
1250,2031
1251,2015
1252,2026
1253,2046
1254,2049
1255,2065
1256,2058
1257,2048
1258,2033
1259,2021
1260,2034
1261,2042
1262,2036
1263,2026
1264,1999
1265,1982
1266,1980
1267,2000
1268,2049
1269,2068
1270,2044
1271,2020
1272,1999
1273,1987
1274,2017
1275,2039
1276,2039
1277,2027
1278,2018
1279,1996
1280,1977
1281,1997
1282,2027
1283,2054
1284,2064
1285,2044
1286,2025
1287,2008
1288,2007
1289,2039
1290,2064
1291,2084
1292,2110
1293,2077
1294,2038
1295,2048
1296,2064
1297,2078
1298,2087
1299,2066
1300,2039
1301,2017
1302,2039
1303,2061
1304,2072
1305,2087
1306,2074
1307,2048
1308,2034
1309,2053
1310,2064
1311,2067
1312,2077
1313,2066
1314,2044
1315,2016
1316,1987
1317,1998
1318,2040
1319,2043
1320,2050
1321,2051
1322,2039
1323,2018
1324,2029
1325,2041
1326,2055
1327,2060
1328,2033
1329,1994
1330,1977
1331,1982
1332,2004
1333,2032
1334,2055
1335,2060
1336,2048
1337,2032
1338,2033
1339,2050
1340,2060
1341,2055
1342,2042
1343,2031
1344,1992
1345,2013
1346,2033
1347,2039
1348,2075
1349,2065
1350,2030
1351,2011
1352,2022
1353,2055
1354,2080
1355,2096
1356,2085
1357,2076
1358,2061
1359,2047
1360,2073
1361,2118
1362,2135
1363,2120
1364,2093
1365,2065
1366,2041
1367,2060
1368,2062
1369,2064
1370,2067
1371,2046
1372,2045
1373,2048
1374,2044
1375,2051
1376,2051
1377,2046
1378,2039
1379,2035
1380,2043
1381,2034
1382,2027
1383,2010
1384,2019
1385,2030
1386,2020
1387,2038
1388,2061
1389,2081
1390,2098
1391,2101
1392,2076
1393,2042
1394,2036
1395,2025
1396,2026
1397,2047
1398,2055
1399,2055
1400,2041
1401,2027
1402,2039
1403,2046
1404,2053
1405,2056
1406,2058
1407,2034
1408,2008
1409,2001
1410,2009
1411,1998
1412,2011
1413,2041
1414,2043
1415,2038
1416,2037
1417,2024
1418,2028
1419,2054
1420,2076
1421,2076
1422,2052
1423,2046
1424,2047
1425,2052
1426,2072
1427,2097
1428,2092
1429,2066
1430,2049
1431,2033
1432,2019
1433,2041
1434,2065
1435,2051
1436,2040
1437,2029
1438,2000
1439,2014
1440,2022
1441,2016
1442,2037
1443,2041
1444,2016
1445,2012
1446,2004
1447,1994
1448,2009
1449,2028
1450,2017
1451,2002
1452,2010
1453,2003
1454,2024
1455,2047
1456,2057
1457,2045
1458,2026
1459,2017
1460,2003
1461,2013
1462,2040
1463,2053
1464,2049
1465,2040
1466,2026
1467,2015
1468,2014
1469,2027
1470,2043
1471,2050
1472,2048
1473,2027
1474,2018
1475,2006
1476,1999
1477,2022
1478,2028
1479,2039
1480,2036
1481,2022
1482,2008
1483,2002
1484,2013
1485,2028
1486,2041
1487,2026
1488,2038
1489,2033
1490,2033
1491,2048
1492,2038
1493,2013
1494,2010
1495,2012
1496,2023
1497,2040
1498,2062
1499,2057
1500,2028
1501,2002
1502,2007
1503,2023
1504,2049
1505,2068
1506,2058
1507,2035
1508,2022
1509,2012
1510,2003
1511,2033
1512,2055
1513,2047
1514,2037
1515,2036
1516,2013
1517,2009
1518,2020
1519,2029
1520,2048
1521,2051
1522,2042
1523,2028
1524,2019
1525,2038
1526,2064
1527,2072
1528,2073
1529,2059
1530,2033
1531,2029
1532,2036
1533,2063
1534,2077
1535,2079
1536,2069
1537,2036
1538,2022
1539,2019
1540,2033
1541,2044
1542,2041
1543,2043
1544,2024
1545,2012
1546,2004
1547,2006
1548,2036
1549,2047
1550,2046
1551,2042
1552,2017
1553,2014
1554,2012
1555,2012
1556,2038
1557,2040
1558,2034
1559,2019
1560,2007
1561,2023
1562,2049
1563,2060
1564,2073
1565,2054
1566,2025
1567,2019
1568,2015
1569,2028
1570,2051
1571,2052
1572,2048
1573,2043
1574,2029
1575,2044
1576,2057
1577,2052
1578,2072
1579,2080
1580,2057
1581,2043
1582,2040
1583,2024
1584,2037
1585,2062
1586,2076
1587,2097
1588,2085
1589,2055
1590,2061
1591,2052
1592,2061
1593,2107
1594,2078
1595,2042
1596,2042
1597,2028
1598,2035
1599,2051
1600,2052
1601,2039
1602,2031
1603,2034
1604,2048
1605,2063
1606,2078
1607,2090
1608,2077
1609,2075
1610,2075
1611,2053
1612,2051
1613,2057
1614,2065
1615,2068
1616,2058
1617,2050
1618,2049
1619,2052
1620,2076
1621,2086
1622,2091
1623,2079
1624,2046
1625,2045
1626,2041
1627,2042
1628,2079
1629,2072
1630,2041
1631,2035
1632,2016
1633,2017
1634,2040
1635,2058
1636,2068
1637,2059
1638,2041
1639,2015
1640,2014
1641,2039
1642,2048
1643,2058
1644,2058
1645,2049
1646,2040
1647,2014
1648,2004
1649,2026
1650,2052
1651,2052
1652,2043
1653,2044
1654,2036
1655,2034
1656,2041
1657,2058
1658,2059
1659,2045
1660,2028
1661,2021
1662,2043
1663,2054
1664,2057
1665,2053
1666,2042
1667,2045
1668,2044
1669,2052
1670,2073
1671,2075
1672,2080
1673,2062
1674,2041
1675,2049
1676,2040
1677,2038
1678,2072
1679,2078
1680,2051
1681,2054
1682,2044
1683,2009
1684,2038
1685,2053
1686,2040
1687,2035
1688,2031
1689,2011
1690,1995
1691,2017
1692,2021
1693,2050
1694,2063
1695,2030
1696,2013
1697,2013
1698,2019
1699,2035
1700,2041
1701,2047
1702,2050
1703,2036
1704,2024
1705,2006
1706,2019
1707,2038
1708,2045
1709,2052
1710,2034
1711,2027
1712,2024
1713,2019
1714,2027
1715,2043
1716,2043
1717,2025
1718,2018
1719,2019
1720,2029
1721,2032
1722,2046
1723,2050
1724,2034
1725,2026
1726,2030
1727,2053
1728,2058
1729,2058
1730,2057
1731,2033
1732,2030
1733,2030
1734,2034
1735,2051
1736,2047
1737,2050
1738,2058
1739,2038
1740,2029
1741,2040
1742,2047
1743,2066
1744,2072
1745,2057
1746,2043
1747,2015
1748,1954
1749,2042
1750,2067
1751,2011
