INDEX,VOLTS_LSB
0,2067
1,2070
2,2093
3,2176
4,2841
5,4040
6,2449
7,1262
8,403
9,451
10,2098
11,2871
12,3886
13,2841
14,1447
15,374
16,639
17,2211
18,2849
19,3919
20,2944
21,1512
22,407
23,822
24,2250
25,2316
26,2107
27,2155
28,2193
29,1582
30,2195
31,3114
32,1982
33,1751
34,2261
35,1839
36,1801
37,2117
38,2115
39,2213
40,2194
41,1985
42,1992
43,2009
44,1965
45,1990
46,1980
47,1976
48,1951
49,1971
50,1994
51,1915
52,1949
53,2020
54,2050
55,2123
56,2174
57,2119
58,2069
59,2027
60,1954
61,2004
62,2131
63,2186
64,2229
65,2260
66,2185
67,2142
68,2145
69,2171
70,2173
71,2105
72,2056
73,2056
74,2047
75,1993
76,2073
77,2132
78,2121
79,2152
80,2133
81,2073
82,2040
83,1980
84,1947
85,1971
86,1976
87,1993
88,2002
89,1976
90,1956
91,1941
92,1951
93,1928
94,1919
95,1922
96,1932
97,1939
98,1952
99,1996
100,2013
101,2013
102,2023
103,1999
104,1970
105,1926
106,1912
107,1930
108,1976
109,2041
110,2088
111,2087
112,2040
113,1986
114,1953
115,1962
116,2003
117,2056
118,2076
119,2063
120,2006
121,1948
122,1794
123,1315
124,769
125,805
126,1305
127,2746
128,3898
129,3443
130,3119
131,2399
132,1444
133,1838
134,2757
135,3245
136,3202
137,2455
138,1331
139,849
140,1516
141,2753
142,3554
143,3244
144,2342
145,1593
146,1434
147,1858
148,2312
149,2467
150,2118
151,1363
152,723
153,732
154,1348
155,2140
156,2520
157,2222
158,1625
159,1311
160,1421
161,1808
162,2293
163,2338
164,2325
165,2188
166,2175
167,2283
168,2154
169,2010
170,2090
171,2159
172,2191
173,2298
174,2377
175,2328
176,2157
177,2064
178,2132
179,2136
180,2202
181,2458
182,2450
183,1977
184,1617
185,1754
186,1960
187,2005
188,2165
189,2296
190,2082
191,1810
192,1859
193,2035
194,2184
195,2410
196,2378
197,1943
198,1609
199,1601
200,1743
201,1930
202,2053
203,2019
204,1951
205,1930
206,1927
207,1953
208,1950
209,1978
210,2009
211,1940
212,1866
213,1872
214,1887
215,1848
216,1831
217,1923
218,1973
219,2004
220,1963
221,1940
222,1947
223,1909
224,1975
225,2107
226,2146
227,2157
228,2110
229,1986
230,1954
231,1947
232,1868
233,1846
234,1976
235,2094
236,2182
237,2365
238,2700
239,2950
240,2770
241,2317
242,2059
243,1961
244,1657
245,1477
246,1777
247,2008
248,1842
249,1740
250,1965
251,2107
252,2246
253,2529
254,2652
255,2350
256,2010
257,1971
258,1834
259,1481
260,1449
