INDEX,VOLTS_LSB
0,2044
1,2048
2,2188
3,2097
4,2828
5,4074
6,2445
7,1273
8,371
9,464
10,2084
11,2924
12,3851
13,2794
14,1504
15,307
16,610
17,2356
18,2855
19,3793
20,2970
21,1561
22,373
23,816
24,2255
25,2380
26,2049
27,2148
28,2200
29,1535
30,2160
31,3109
32,1954
33,1718
34,2221
35,1789
36,1737
37,2032
38,2029
39,2148
40,2142
41,1958
42,1941
43,1917
44,1897
45,1948
46,1976
47,1951
48,1927
49,1912
50,1901
51,1892
52,1925
53,1981
54,2046
55,2129
56,2149
57,2115
58,2081
59,2021
60,1983
61,2038
62,2133
63,2233
64,2275
65,2244
66,2190
67,2134
68,2085
69,2092
70,2099
71,2083
72,2054
73,2008
74,2004
75,2020
76,2058
77,2116
78,2109
79,2096
80,2080
81,2009
82,1974
83,1979
84,1961
85,1944
86,1962
87,1951
88,1943
89,1942
90,1941
91,1951
92,1966
93,1949
94,1948
95,1960
96,1931
97,1937
98,1972
99,1989
100,2034
101,2056
102,2041
103,1997
104,1933
105,1904
106,1903
107,1909
108,1948
109,1997
110,2021
111,2018
112,1995
113,1937
114,1886
115,1903
116,1943
117,1986
118,2017
119,2008
120,1982
121,1919
122,1813
123,1555
124,1034
125,604
126,893
127,2041
128,3343
129,3748
130,3315
131,2711
132,1889
133,1586
134,2216
135,2967
136,3218
137,2814
138,1888
139,997
140,1062
141,2082
142,3247
143,3496
144,2796
145,1955
146,1463
147,1559
148,1981
149,2273
150,2246
151,1803
152,1010
153,664
154,1019
155,1729
156,2377
157,2402
158,1857
159,1403
160,1356
161,1597
162,2019
163,2344
164,2354
165,2181
166,2139
167,2223
168,2229
169,2141
170,2108
171,2139
172,2142
173,2190
174,2311
175,2351
176,2230
177,2096
178,2064
179,2098
180,2118
181,2245
182,2449
183,2250
184,1774
185,1685
186,1902
187,1984
188,2034
189,2139
190,2126
191,1896
192,1797
193,1879
194,2055
195,2238
196,2317
197,2118
198,1767
199,1605
200,1705
201,1828
202,1878
203,1929
204,1913
205,1901
206,1968
207,1993
208,2009
209,1982
210,1947
211,1955
212,1908
213,1874
214,1917
215,1910
216,1831
217,1858
218,1963
219,1999
220,1970
221,1951
222,1953
223,1922
224,1916
225,2011
226,2104
227,2127
228,2132
229,2100
230,2004
231,1962
232,1896
233,1766
234,1781
235,1962
236,2170
237,2374
238,2589
239,2865
240,2945
241,2582
242,2167
243,2058
244,2015
245,1728
246,1566
247,1839
248,1970
249,1764
250,1634
251,2198
252,2207
253,2231
254,2783
255,2430
256,2133
257,2144
258,1909
259,1708
260,1406
261,1342
262,1781
263,2020
264,1915
265,1934
266,2069
267,2077
268,2024
269,2035
270,2125
271,2116
272,1983
273,1859
274,1837
275,1931
276,2069
277,2017
278,1738
279,1581
280,1726
281,1942
282,2159
283,2299
284,2214
285,2008
286,1927
287,2006
288,2159
289,2288
290,2340
291,2323
292,2203
293,2052
294,1984
295,2043
296,2167
297,2247
298,2321
299,2375
300,2286
301,2165
302,2135
303,2137
304,2117
305,2105
306,2083
307,1961
308,1770
309,1693
310,1724
311,1784
312,1911
313,2016
314,1958
315,1881
316,1859
317,1830
318,1837
319,1929
320,1954
321,1854
322,1842
323,1876
324,1916
325,2021
326,2150
327,2274
328,2261
329,2098
330,2058
331,2083
332,2134
333,2197
334,2255
335,2249
336,2143
337,2068
338,2090
339,2131
340,2166
341,2185
342,2131
343,1963
344,1845
345,1879
346,1995
347,2137
348,2192
349,2181
350,2057
351,1903
352,1846
353,1811
354,1791
355,1818
356,1837
357,1817
358,1910
359,1961
360,2070
361,2250
362,2174
363,2146
364,2096
365,1968
366,1964
367,2036
368,2074
369,2042
370,1918
371,1800
372,1692
373,1741
374,2102
375,2363
376,2208
377,2031
378,2044
379,1885
380,1720
381,1978
382,2281
383,2284
384,2249
385,2271
386,2105
387,1854
388,1896
389,2052
390,2014
391,2047
392,2289
393,2368
394,2197
395,2116
396,2178
397,2228
398,2251
399,2214
400,2121
401,2010
402,1960
403,1974
404,1983
405,1967
406,1958
407,1950
408,1932
409,2023
410,2105
411,2145
412,2117
413,1968
414,1696
415,1658
416,1748
417,1846
418,2032
419,2154
420,2100
421,1983
422,1889
423,1870
424,1933
425,2019
426,2076
427,2054
428,2004
429,1928
430,1882
431,1983
432,2179
433,2296
434,2314
435,2266
436,2147
437,2062
438,2157
439,2329
440,2353
441,2209
442,1983
443,1790
444,1758
445,1893
446,2093
447,2199
448,2157
449,2079
450,2026
451,1994
452,2015
453,2078
454,2132
455,2100
456,2003
457,1932
458,1915
459,1925
460,1995
461,2080
462,2116
463,2149
464,2128
465,2108
466,2105
467,2093
468,2115
469,2109
470,2048
471,1997
472,2006
473,2083
474,2129
475,2109
476,2082
477,2050
478,2022
479,2016
480,1994
481,1989
482,1975
483,1988
484,2012
485,2054
486,2168
487,2213
488,2244
489,2231
490,2167
491,2126
492,2097
493,2116
494,2133
495,2095
496,2006
497,1866
498,1723
499,1704
500,1825
501,2008
502,2153
503,2166
504,2107
505,2024
506,1948
507,1958
508,2020
509,2033
510,1997
511,1941
512,1902
513,1940
514,2011
515,2027
516,2049
517,2110
518,2181
519,2237
520,2296
521,2247
522,2132
523,2093
524,2143
525,2191
526,2233
527,2168
528,2104
529,2089
530,2094
531,2123
532,2151
533,2104
534,2017
535,1965
536,1940
537,1965
538,2032
539,2089
540,2130
541,2140
542,2084
543,2056
544,2076
545,2022
546,1951
547,1948
548,1943
549,1910
550,1939
551,1995
552,1982
553,1969
554,2018
555,2097
556,2151
557,2226
558,2301
559,2323
560,2231
561,2099
562,2016
563,1958
564,1973
565,2117
566,2254
567,2269
568,2166
569,2068
570,2060
571,2103
572,2225
573,2346
574,2313
575,2159
576,1978
577,1848
578,1845
579,1915
580,2011
581,2071
582,2039
583,2006
584,2008
585,2002
586,2020
587,2016
588,1984
589,2012
590,2030
591,1987
592,1927
593,1900
594,1882
595,1963
596,2087
597,2141
598,2165
599,2152
600,2092
601,2050
602,2014
603,1991
604,2012
605,2010
606,1950
607,1852
608,1839
609,1824
610,1848
611,1954
612,2052
613,2124
614,2144
615,2103
616,1996
617,1929
618,1958
619,2040
620,2154
621,2207
622,2144
623,2060
624,2004
625,2008
626,2099
627,2233
628,2311
629,2329
630,2267
631,2153
632,2071
633,2041
634,2091
635,2168
636,2212
637,2196
638,2077
639,1979
640,1934
641,1894
642,1910
643,1960
644,1974
645,1964
646,1944
647,1917
648,1912
649,1909
650,1942
651,2001
652,2026
653,2006
654,1957
655,1907
656,1875
657,1903
658,1962
659,2020
660,2083
661,2099
662,2087
663,2041
664,2025
665,2078
666,2131
667,2134
668,2144
669,2120
670,2009
671,1926
672,1929
673,2002
674,2143
675,2266
676,2299
677,2239
678,2132
679,2045
680,2054
681,2122
682,2176
683,2167
684,2089
685,1973
686,1890
687,1884
688,1940
689,2053
690,2149
691,2144
692,2087
693,2035
694,1975
695,1934
696,1940
697,1955
698,1931
699,1919
700,1897
701,1905
702,1973
703,1976
704,2038
705,2123
706,2091
707,2117
708,2138
709,2095
710,2064
711,2033
712,1972
713,1965
714,2016
715,2040
716,2043
717,2066
718,2082
719,2089
720,2121
721,2148
722,2142
723,2110
724,2062
725,2015
726,1988
727,1978
728,1970
729,1959
730,1984
731,2016
732,2037
733,2028
734,2006
735,2007
736,2029
737,2053
738,2100
739,2102
740,2064
741,2026
742,1949
743,1940
744,2005
745,2063
746,2096
747,2111
748,2061
749,2005
750,1971
751,1957
752,1996
753,2069
754,2095
755,2076
756,2042
757,2003
758,1995
759,2015
760,2060
761,2069
762,2041
763,2004
764,1993
765,1977
766,1997
767,2064
768,2087
769,2061
770,2034
771,2018
772,2054
773,2110
774,2120
775,2105
776,2076
777,2036
778,1994
779,2003
780,2049
781,2092
782,2115
783,2134
784,2134
785,2112
786,2075
787,2074
788,2080
789,2092
790,2111
791,2100
792,2058
793,2022
794,1999
795,1997
796,2035
797,2050
798,2055
799,2032
800,1997
801,1990
802,1994
803,1996
804,2011
805,1969
806,1918
807,1867
808,1857
809,1905
810,1968
811,2011
812,2009
813,2016
814,2015
815,2007
816,2026
817,2044
818,2028
819,2025
820,2039
821,2013
822,1987
823,2019
824,2080
825,2099
826,2078
827,2113
828,2084
829,2106
830,2107
831,2095
832,2062
833,2027
834,1991
835,1984
836,2029
837,2039
838,2044
839,2046
840,2002
841,1974
842,1990
843,2021
844,2059
845,2127
846,2130
847,2080
848,2067
849,2060
850,2069
851,2115
852,2142
853,2127
854,2112
855,2089
856,2098
857,2089
858,2098
859,2142
860,2150
861,2075
862,2061
863,2076
864,2030
865,2052
866,2006
867,1961
868,1981
869,1965
870,1922
871,1950
872,1954
873,1974
874,1973
875,1820
876,2120
877,2010
878,1863
879,2171
880,1837
